#Sample Identifier	Patient Identifier	Tissue Supergroup	Metastatic Tissue Site	Primary Tissue Site	Oncotree Code	Freeze Media	Final Analysis Set	CCLE ID	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic Status	DepMap ID
#Sample identifier	Patient identifier	Sample tissue supergroup	Metastatic tissue site	Primary tissue site	Oncotree code	Cell line freeze media	Indicates if the sample was included in the final analysis set	CCLE ID 	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic status 	DepMap ID mapping for cell lines included in the DepMap CCLE study 
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
#1	0	0	1	1	1	0	1	0	0	1	1	1	0
SAMPLE_ID	PATIENT_ID	TISSUE_SUPERGROUP	METASTATIC_SITE	PRIMARY_SITE	ONCOTREE_CODE	FREEZE_MEDIA	ANALYSIS_SET	CCLE_ID	SANGER_ID	CANCER_TYPE	CANCER_TYPE_DETAILED	SOMATIC_STATUS	SAMPLE_DISPLAY_NAME
S-EB-3	P-EB-3	Lymphoid	NA	Blood	BL	Complete growth medium, 90%; DMSO, 10%	True	NA	EB-3	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	
S-EB1	P-EB1	Lymphoid	NA	Lymph Node	BL	RPMI-1640, 20% HI FBS, 10% DMSO	False	EB1	NA	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-EB2	P-EB2	Lymphoid	NA	Blood	BL	Complete growth medium, 90%; DMSO, 10%	True	EB2	EB2	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-EBC-1	P-EBC-1	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	EBC-1	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	EBC1_LUNG
S-EFM-19	P-EFM-19	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	EFM-19	EFM-19	Breast Cancer	Invasive Breast Carcinoma	Matched	EFM19_BREAST
S-EFM-192A	P-EFM-192A	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	EFM-192A	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	EFM192A_BREAST
S-EFM-192B	P-EFM-192B	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	
S-EFM-192C	P-EFM-192C	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	
S-EFO-27	P-EFO-27	Ovary	NA	Ovary	OOVC	FBS, 90%; DMSO, 10%	True	EFO-27	EFO-27	Ovarian Cancer	Ovarian Cancer, Other	Matched	EFO27_OVARY
S-EJM	P-EJM	Lymphoid	Peritoneum	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	EJM	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-EKVX	P-EKVX	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	EKVX	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	
S-EPLC-272H	P-EPLC-272H	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	EPLC-272H	EPLC-272H	Lung Cancer	Lung	Matched	EPLC272H_LUNG
S-ES-2	P-ES-2	Ovary	NA	Ovary	CCOV	Complete growth medium, 90%; DMSO, 10%	True	ES-2	NA	Ovarian Cancer	Clear Cell Ovarian Cancer	Matched	ES2_OVARY
S-EVSA-T	P-EVSA-T	Breast	Ascites	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	EVSA-T	EVSA-T	Breast Cancer	Invasive Breast Carcinoma	Matched	EVSAT_BREAST
S-FaDu	P-FaDu	Head-Neck	NA	Nasal Pharynx	HNSC	Complete growth medium, 90%; DMSO, 10%	True	FaDu	FADU	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	Matched	FADU_UPPER_AERODIGESTIVE_TRACT
S-Farage	P-Farage	Lymphoid	NA	Blood	NHL	NA	True	NA	NA	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	Matched	
S-FU97	P-FU97	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	FU97	NA	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	FU97_STOMACH
S-G-361	P-G-361	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	G-361	G-361	Melanoma	Melanoma	Matched	G361_SKIN
S-G-402	P-G-402	Kidney	NA	Kidney	LM	Complete growth medium, 90%; DMSO, 10%	True	G-402	NA	Soft Tissue Cancer	Leiomyoma	Matched	G402_SOFT_TISSUE
S-G111	P-G111	Brain	NA	Brain	GNOS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G112	P-G112	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	False	NA	NA	Glioma	Glioma, NOS	Matched	
S-G118	P-G118	Brain	NA	Brain	GNOS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G120	P-G120	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G121	P-G121	Brain	NA	Brain	GNOS	90% FBS; 10% DMSO	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G122	P-G122	Brain	NA	Brain	GNOS	FBS 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G124	P-G124	Brain	NA	Brain	GNOS	FBS 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G130	P-G130	Brain	NA	Brain	GNOS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G140	P-G140	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G141	P-G141	Brain	NA	Brain	GNOS	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Glioma	Glioma, NOS	Matched	
S-G142	P-G142	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	False	NA	NA	Glioma	Glioma, NOS	Matched	
S-G22	P-G22	Brain	NA	Brain	GNOS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G28T	P-G28T	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G44	P-G44	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G59	P-G59	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G61	P-G61	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G84	P-G84	Brain	NA	Brain	GNOS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Glioma	Glioma, NOS	Matched	
S-G96	P-G96	Brain	NA	Brain	GNOS	FBS, 90%; DMSO, 10%	False	NA	NA	Glioma	Glioma, NOS	Matched	
S-GA-10	P-GA-10	Lymphoid	NA	Blood	BL	Complete growth medium, 90%; DMSO, 10%	True	GA-10	NA	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-GP2d	P-GP2d	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	GP2d	Gp2D	Colorectal Cancer	Colon Adenocarcinoma	Matched	GP2D_LARGE_INTESTINE
S-GP5d	P-GP5d	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	NA	GP5d	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-GR-M	P-GR-M	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	GR-M	NA	Melanoma	Melanoma	Matched	GRM_SKIN
S-GRANTA-519	P-GRANTA-519	Lymphoid	NA	Lymph Node	MBN	Complete growth medium, 90%; DMSO, 10%	True	GRANTA-519	NA	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Matched	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-GTL-16	P-GTL-16	Stomach	NA	Stomach	STAD	90% FBS; 10% DMSO	True	NA	NA	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	
S-H322T	P-H322T	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	
S-HBL-100	P-HBL-100	Breast	NA	Breast	BREAST	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Breast Cancer	Breast	Matched	
S-HCA-7	P-HCA-7	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-HCC-15	P-HCC-15	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	HCC-15	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	HCC15_LUNG
S-HCC1011	P-HCC1011	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	
S-HCC1143	P-HCC1143	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1143	HCC1143	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1143_BREAST
S-HCC1162	P-HCC1162	Uterus	NA	Uterus	UCEC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Endometrial Cancer	Endometrial Carcinoma	Matched	
S-HCC1171	P-HCC1171	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	HCC-1171	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	HCC1171_LUNG
S-HCC1187	P-HCC1187	Breast	Soft Tissue	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1187	HCC1187	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1187_BREAST
S-HCC12	P-HCC12	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	
S-HCC1263	P-HCC1263	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-HCC1319	P-HCC1319	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	
S-HCC1359	P-HCC1359	Lung	NA	Lung	LCLC	Complete growth medium, 90%; DMSO, 10%	True	HCC-1359	NA	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Matched	HCC1359_LUNG
S-HCC1395	P-HCC1395	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1395	HCC1395	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1395_BREAST
S-HCC1419	P-HCC1419	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1419	HCC1419	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1419_BREAST
S-HCC1428	P-HCC1428	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	HCC1428	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	HCC1428_BREAST
S-HCC1482	P-HCC1482	Uterus	NA	Uterus	UCEC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Endometrial Cancer	Endometrial Carcinoma	Matched	
S-HCC1493	P-HCC1493	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	
S-HCC1500	P-HCC1500	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1500	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1500_BREAST
S-HCC1534	P-HCC1534	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Lung Cancer	Lung	Matched	
S-HCC1569	P-HCC1569	Breast	NA	Breast	MBC	Complete growth medium, 90%; DMSO, 10%	True	HCC1569	NA	Breast Cancer	Metaplastic Breast Cancer	Matched	HCC1569_BREAST
S-HCC1576	P-HCC1576	Other	NA	Adrenal	ADRENAL_GLAND	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Adrenal Gland Cancer	Adrenal Gland	Matched	
S-HCC1599	P-HCC1599	Breast	NA	Breast	DCIS	FBS, 90%; DMSO, 10%	True	HCC1599	HCC1599	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1599_BREAST
S-HCC1806	P-HCC1806	Breast	NA	Breast	MSCC	Complete growth media, 10% DMSO	True	HCC1806	HCC1806	Breast Cancer	Metaplastic Squamous Cell Carcinoma	Matched	HCC1806_BREAST
S-HCC193	P-HCC193	Lung		Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-HCC1937	P-HCC1937	Breast	Soft Tissue	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1937	HCC1937	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1937_BREAST
S-HCC1954	P-HCC1954	Breast	Soft Tissue	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC1954	HCC1954	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC1954_BREAST
S-HCC202	P-HCC202	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC202	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC202_BREAST
S-HCC2157	P-HCC2157	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	False	HCC2157	HCC2157	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC2157_BREAST
S-HCC2218	P-HCC2218	Breast	Soft Tissue	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC2218	HCC2218	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC2218_BREAST
S-HCC2270	P-HCC2270	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-HCC2279	P-HCC2279	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	HCC-2279	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	HCC2279_LUNG
S-HCC2302	P-HCC2302	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-HCC2688	P-HCC2688	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	
S-HCC2885	P-HCC2885	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	
S-HCC2911	P-HCC2911	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	
S-HCC2935	P-HCC2935	Lung	NA	Lung	LUAD	FBS, 90%; DMSO, 10%	True	HCC2935	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	HCC2935_LUNG
S-HCC33	P-HCC33	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	HCC-33	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	HCC33_LUNG
S-HCC364	P-HCC364	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	HCC364	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	HCC364_LUNG
S-HCC366	P-HCC366	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	HCC-366	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	HCC366_LUNG
S-HCC38	P-HCC38	Breast	Soft Tissue	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC38	HCC38	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC38_BREAST
S-HCC4006	P-HCC4006	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	HCC4006	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	HCC4006_LUNG
S-HCC4011	P-HCC4011	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-HCC4017	P-HCC4017	Lung	NA	Lung	LCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Matched	
S-HCC44	P-HCC44	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	HCC-44	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	HCC44_LUNG
S-HCC461	P-HCC461	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-HCC515	P-HCC515	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-HCC60	P-HCC60	Ovary	NA	Ovary	OOVC	NA	False	NA	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	
S-HCC630	P-HCC630	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	
S-HCC70	P-HCC70	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	HCC70	HCC70	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	HCC70_BREAST
S-HCC78	P-HCC78	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	HCC-78	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	HCC78_LUNG
S-HCC827	P-HCC827	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	HCC827	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	HCC827GR_LUNG
S-HCC89	P-HCC89	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	
S-HCT116	P-HC116	Colo-Rectal	NA	Colon	COAD	50% FBS, 40% media, 10% DMSO	True	HCT 116	HCT-116	Colorectal Cancer	Colon Adenocarcinoma	Matched	HCT116_LARGE_INTESTINE
S-HCT-15	P-HCT-15	Colo-Rectal	NA	Colon	COAD	90% FBS, 10% DMSO	False	HCT-15	HCT-15	Colorectal Cancer	Colon Adenocarcinoma	Matched	HCT15_LARGE_INTESTINE
S-HCT-8	P-HCT-8	Colo-Rectal	NA	Ileum	COADREAD	Complete growth medium, 90%; DMSO, 10%	False	HCT-8	NA	Colorectal Cancer	Colorectal Adenocarcinoma	Matched	HCT8_LARGE_INTESTINE
S-HEC-1-A	P-HEC-1-A	Uterus	Endometrium	Uterus	UCEC	Complete growth medium, 90%; DMSO, 10%	True	HEC-1-A	NA	Endometrial Cancer	Endometrial Carcinoma	Matched	HEC1A_ENDOMETRIUM
S-HEL	P-HEL	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	HEL	HEL	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-HeLa	P-HeLa	Cervix	NA	Cervix	CEAD	Complete growth medium, 90%; DMSO, 10%	True	NA	HeLaSF	Cervical Cancer	Cervical Adenocarcinoma	Matched	
S-HepG2	P-HepG2	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	Hep G2	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	HEPG2_LIVER
S-HEp-2	P-HEp-2	Cervix	NA	Cervix	CEAD	90% FBS, 10% DMSO	False	NA	NA	Cervical Cancer	Cervical Adenocarcinoma	Matched	
S-HEY	P-HEY	Ovary	NA	Ovary	OOVC	90% FBS ; 10% DMSO	True	Hey-A8	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	HEYA8_OVARY
S-HGC-27	P-HGC-27	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	HGC-27	HGC-27	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	HGC27_STOMACH
S-HL-60	P-HL-60	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	HL-60	HL-60	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-HM7	P-HM7	Colo-Rectal	NA	Colon	COAD	90% FBS, 10% DMSO	False	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-HMY-1	P-HMY-1	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Melanoma	Melanoma	Matched	
S-HN	P-HN	Head-Neck	NA	Oral Cavity	OCSC	Complete growth medium, 90%; DMSO, 10%	True	HN	HN	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	Matched	HN_UPPER_AERODIGESTIVE_TRACT
S-HNT-34	P-HNT-34	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	
S-HOS-62	P-HOP-62	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	HOP-62	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	
S-HOS-92	P-HOP-92	Lung	NA	Lung	LCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	HOP-92	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Matched	
S-HPAC	P-HPAC	Pancreas	NA	Pancreas	PAAD	90% FBS; 10% DMSO	False	HPAC	NA	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	HPAC_PANCREAS
S-HPAF-II	P-HPAF-II	Pancreas	NA	Pancreas	PAAD	90% FBS; 10% DMSO	True	HPAF-II	HPAF-II	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	HPAFII_PANCREAS
S-HS-255-T	P-HS-255-T	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	Hs 255.T	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	HS255T_FIBROBLAST
S-HS-294T	P-HS-294T	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	Hs 294T	NA	Melanoma	Melanoma	Matched	HS294T_SKIN
S-HS-38-T	P-HS-38-T	Ovary	NA	Ovary	TT	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Germ Cell Tumor	Teratoma	Matched	
S-HS-578T	P-HS-578T	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	Hs 578T	Hs-578-T	Breast Cancer	Invasive Breast Carcinoma	Matched	HS578T_BREAST
S-HS-675-T	P-HS-675-T	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	Hs 675.T	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	HS675T_FIBROBLAST
S-HS-683	P-HS-683	Brain	NA	Brain	GNOS	90% FBS; 10% DMSO	True	Hs 683	NA	Glioma	Glioma, NOS	Matched	HS683_CENTRAL_NERVOUS_SYSTEM
S-HS-695T	P-HS-695T	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	Hs 695T	NA	Melanoma	Melanoma	Matched	HS695T_SKIN
S-HS-69ST	P-HS-69ST	Skin	NA	Skin	MEL	NA	False	NA	NA	Melanoma	Melanoma	Matched	
S-HS-746T	P-HS-746T	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	Hs 746T	NA	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	HS746T_STOMACH
S-HS-766T	P-HS-766T	Pancreas	NA	Pancreas	PANCREAS	90% FBS; 10% DMSO	True	Hs 766T	NA	Pancreatic Cancer	Pancreas	Matched	HS766T_PANCREAS
S-HS-839-T	P-HS-839-T	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	Hs 839.T	NA	Melanoma	Melanoma	Matched	HS839T_FIBROBLAST
S-HS-852-T	P-HS-852-T	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	Hs 852.T	NA	Melanoma	Melanoma	Matched	HS852T_SKIN
S-HS-895-T	P-HS-895-T	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	Hs 895.T	NA	Melanoma	Melanoma	Matched	HS895T_FIBROBLAST
S-HS-936-T	P-HS-936-T	Skin	NA	Skin	MEL	NA	True	Hs 936.T	NA	Melanoma	Melanoma	Matched	HS936T_SKIN
S-HS-940-T	P-HS-940-T	Skin	NA	Skin	MEL	NA	True	Hs 940.T	NA	Melanoma	Melanoma	Matched	HS940T_FIBROBLAST
S-HS-Sultan	P-HS-Sultan	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	
S-HT	P-HT	Lymphoid	Ascites	Lymph Node	LNM	90% Complete growth media; 10% DMSO	True	HT	HT	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-HT-1080	P-HT-1080	Lung	NA	Lung	FIBS	FBS, 90%; DMSO, 10%	True	HT-1080	HT-1080	Soft Tissue Sarcoma	Fibrosarcoma	Matched	HT1080_SOFT_TISSUE
S-HT-115	P-HT-115	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	HT115	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	HT115_LARGE_INTESTINE
S-HT-144	P-HT-144	Skin	NA	Skin	MEL	NA	True	HT-144	HT-144	Melanoma	Melanoma	Matched	HT144_SKIN
S-HT-29	P-HT-29	Colo-Rectal	NA	Colon	COAD	50% FBS, 40% media, 10% DMSO	True	HT-29	HT-29	Colorectal Cancer	Colon Adenocarcinoma	Matched	HT29_LARGE_INTESTINE
S-HT-55	P-HT-55	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	HT55	HT55	Colorectal Cancer	Colon Adenocarcinoma	Matched	HT55_LARGE_INTESTINE
S-huH-1	P-huH-1	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	huH-1	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	HUH1_LIVER
