NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	ATTRIBUTE_TYPE	PRIORITY	CATEGORY	VOCABULARY	COLOR	FLAG
DX_HER2_RATIO	MedR Diagnostic HER2 Ratio	Ratio of HER2/CEP17 in diagnostic sample. This is one component of the Flourescence In Situ Hybridization (FISH) test. This ratio is used to determine if the HER2 gene is overexpressed, relative to the CEP17 protein, which acts as a baseline measurement. HER2/CEP17 ratios >2.2 indicate a HER2 Positive tumor.	STRING	PATIENT	1				
DX_HISTOLOGY	MedR Diagnostic Histology	Histology of diagnostic sample	STRING	PATIENT	1				
DX_LOCATION	MedR Diagnosis Location	Location in the body of initial breast cancer diagnosis	STRING	PATIENT	1				
DX_PERCENT_ER	MedR Diagnostic ER %	Percentage of Estrogen Receptor (ER) reported in diagnostic sample. A value of >= 1% indicates an ER Positive tumor .	STRING	PATIENT	1				
DX_PERCENT_PR	MedR Diagnostic PR %	Progesterone Receptor (PR) percentage reported in diagnostic sample. A value of >=1% indicates a PR Positive tumor.	STRING	PATIENT	1				
DX_PR	MedR Diagnostic PR Status	Progesterone Receptor (PR) status of diagnostic sample	STRING	PATIENT	1				
DX_SIDEDNESS	MedR Diagnosis Laterality	Left or right sidedness of diagnostic sample	STRING	PATIENT	1				
DX_STAGE	MedR Stage at Diagnosis	American Joint Committee on Cancer (AJCC) Summary Stage at Diagnosis. Using the AJCC method, a breast cancer is characterized by the size of the tumor (T), the number of lymph nodes it has spread to (N), and whether or not it has metastatsized (M). Together, the T, N, and M values are used to determine the Summary stage, e.g. Stage I, Stage II, Stage III, Stage IV	STRING	PATIENT	1				
DX_TO_IMPACT_EXTENT_MONTHS	Time from Diagnosis to IMPACT in months	Time from Diagnosis to IMPACT in months	NUMBER	PATIENT	1				
DX_TYPE	MedR Diagnostic Procedure	Type of procedure used to obtain diagnostic sample	STRING	PATIENT	1				
DYSPLASIA	Dysplasia	Dysplasia.	STRING	SAMPLE	1				
E2A_STATUS	E2A Status	E2A status.	STRING	SAMPLE	1				
EASTERN_CANCER_ONCOLOGY_GROUP	Eastern Cancer Onocology Group	Eastern Cancer Oncology Group.	STRING	PATIENT	1				
EBV_POSITIVE	EBV Positive	EBV Positive	NUMBER	PATIENT	1				
EBV_POSITIVE_MALIGNANT_CELLS_PERCENT	EBV Positive Malignant Cells Percent	EBV Positive Malignant Cells Percent	NUMBER	SAMPLE	1				
EBV_PRESENT	EBV Present	EBV present.	STRING	PATIENT	1				
EBV_STATUS	EBV Status	Epstein-Barr Virus (EBV) Status	STRING	PATIENT	1				
EBV_STATUS_MALIGNANT_CELLS_METHOD	EBV Status Malignant Cells Method	EBV Status Malignant Cells Method	STRING	PATIENT	1				
EBV_TESTED	EBV Tested	EBV Tested	STRING	PATIENT	1				
EC	EC	EC	STRING	PATIENT	1				
ECE	ECE	ECE	STRING	SAMPLE	1				
ECE_BINARY	ECE Binary	ECE Binary	STRING	SAMPLE	1				
ECOG_AT_STAGE_4_DX	ECOG At Stage IV Diagnosis	ECOG Score Recorded at Stage IV Diagnosis	NUMBER	PATIENT	1				
ECOG_SCORE	Performance Status	The functional level of the patient based on the Zubrod performance scale.	NUMBER	PATIENT	1				
ECOG_STATUS	ECOG status	ECOG status	STRING	PATIENT	1				
ECSMG	EC-SMG	EC-SMG	STRING	PATIENT	1				
ECZEMA_HISTORY	Eczema History	History of eczema.	STRING	PATIENT	1				
EDMONDSON_GRADE	Edmondson tumor grading	Edmondson tumor grading	STRING	SAMPLE	1				
EFSCENS	EFS-CENS	EFS-CENS.	STRING	PATIENT	1				
EFS_EVENT_TYPE_ID	EFS Event Type ID	EFS event type id.	STRING	PATIENT	1				
EFS_MONTHS	Event Free Survival (Months)	In cancer, the length of time after primary treatment for a cancer ends that the patient remains free of certain complications or events that the treatment was intended to prevent or delay. These events may include the return of the cancer or the onset of certain symptoms, such as bone pain from cancer that has spread to the bone.	NUMBER	PATIENT	1				
EFS_STATUS	Event Free Status	Event Free Status	STRING	PATIENT	1				
EFS_TIME	EFS Time	EFS time.	STRING	PATIENT	1				
EF_DAYS_DISEASE	Event Free Days (Aggressive disease)	Event Free Days (Aggressive disease)	NUMBER	PATIENT	1				
EF_DAYS_METASTASIS	Event Free Days (Distant Metastasis)	Event Free Days (Distant Metastasis)	NUMBER	PATIENT	1				
EGD	Esophagogastroduodenoscopy	Esophagogastroduodenoscopy	STRING	PATIENT	1				
EGF1	Egf1	Egf1	NUMBER	PATIENT	1				
EGF2	Egf2	Egf2	NUMBER	PATIENT	1				
EGLN1_GERMLINE	EGLN1 Germline Mutation	EGLN1 Germline Mutation	STRING	SAMPLE	1				
ELN_GENETIC_RISK	ELN Genetic Risk	ELN Genetic Risk	STRING	PATIENT	1				
EMBOLIZATION	Embolization	Embolization	STRING	SAMPLE	1				
EMT_SCORE	EMT Score	EMT Score	NUMBER	SAMPLE	1				
ENCAPSULATION	ENCAPSULATION	ENCAPSULATION	STRING	SAMPLE	1				
ENETS_STAGING	ENETS Staging	ENETS Staging	STRING	SAMPLE	1				
ENETS_T_STAGING	ENETS T-Staging	ENETS T-Staging	STRING	SAMPLE	1				
ENROLLMENT_ON_CLINICAL_TRIAL_BASED_ON_IMPACT	Enrollment on clinical trial based on IMPACT	Enrollment on clinical trial based on IMPACT	STRING	PATIENT	1				
EOSINOPHILS	Eosinophils	Eosinophils	NUMBER	SAMPLE	1				
EPAS1_SOMATIC	EPAS1 Somatic Mutation	EPAS1 Somatic Mutation	STRING	SAMPLE	1				
EPIGENETIC	Epigenetic	Epigenetic	STRING	PATIENT	1				
EPINEPHRINE	Epinephrine Secreting	Epinephrine Secreting	STRING	SAMPLE	1				
EPITHELIAL	Epithelial	Epithelial.	STRING	SAMPLE	1				
EPITHELIOID_PERCENT_OF_TUMOR	Epithelioid Percent of Tumor	Epithelioid Percent of Tumor	NUMBER	SAMPLE	1				
ERBB_PATHWAY_MUTATION	ErbB Pathway Mutation	ErbB Pathway Mutation	STRING	SAMPLE	1				
ERG_EXPRESSION	ERG Expression	ERG Expression	NUMBER	SAMPLE	1				
ERG_FISH_RESULT	ERG FISH Result	ERG Fish result.	STRING	SAMPLE	1				
ERG_FUSION_ACGH	ERG Fusion ACGH	ERG fusion acgh.	STRING	SAMPLE	1				
ERG_FUSION_GEX	ERG Fusion GEX	ERG fusion gex.	STRING	SAMPLE	1				
ERG_FUSION_RNASEQ	ERG FUSION RNASEQ	ERG FUSION RNASEQ	STRING	SAMPLE	1				
ERG_FUSION_STATUS	ERG Fusion Status	ERG fusion status.	STRING	SAMPLE	1				
ERG_IHC	ERG IHC	ERG IHC	STRING	SAMPLE	1				
ERG_NANOSTRING	ERG NANOSTRING	ERG NANOSTRING	STRING	SAMPLE	1				
ERG_STATUS	Erg status	Erg status	STRING	PATIENT	1				
ERK_SCORE	ERK Score	ERK Score	NUMBER	SAMPLE	1				
ERROR_PERCENT	Error Percent	Error percent.	STRING	SAMPLE	1				
ERYTHROCYTE_SEDIMENTATION_RATE	Erythrocyte sedimentation rate	Erythrocyte sedimentation rate result	STRING	PATIENT	1				
ER_EXPR	ER status measured by expression	ER status measured by expression	STRING	PATIENT	1				
ER_IHC	ER status measured by IHC	ER status measured by IHC	STRING	PATIENT	1				
ER_POSITIVITY_METHOD	ER positivity method	ER detection method text	STRING	SAMPLE	1				
ER_POSITIVITY_SCALE_OTHER	ER positivity scale other	Positive finding estrogen receptor other measurement scale text	STRING	SAMPLE	1				
ER_POSITIVITY_SCALE_USED	ER positivity scale used	Breast carcinoma immunohistochemistry er pos finding scale	STRING	SAMPLE	1				
ER_PR_STATUS	ER_PR	ER_PR	STRING	SAMPLE	1				
ER_STATUS	ER Status	ER Status	STRING	SAMPLE	1				
ER_STATUS_BY_IHC	ER Status By IHC	breast carcinoma progesterone receptor status	STRING	SAMPLE	1				
ER_STATUS_IHC_PERCENT_POSITIVE	ER Status IHC Percent Positive	progesterone receptor level cell percent category	STRING	SAMPLE	1				
ER_STATUS_METASTASIS	ER Metastatic Status	ER Metastatic Status	STRING	PATIENT	1				
ER_STATUS_PRIMARY	ER Primary Status	ER Primary Status	STRING	PATIENT	1				
ESOPHAGEAL_TUMOR_LOCATION_CENTERED	Esophageal tumor cental location	Esophageal tumor cental location	STRING	SAMPLE	1				
ESOPHAGEAL_TUMOR_LOCATION_EPC	Esophageal tumor location epc	Esophageal tumor location epc	STRING	SAMPLE	1				
ESOPHAGEAL_TUMOR_LOCATION_INVOLVED	Esophageal tumor involvement site	Esophageal tumor involvement site	STRING	SAMPLE	1				
ESOPH_COLUMNAR_METAPLASIA_INDICATOR	Columnar metaplasia present	Columnar metaplasia present	STRING	SAMPLE	1				
ESOPH_NON_CA_DEGREE_OF_DYSPLASIA	Columnar mucosa dysplasia	Columnar mucosa dysplasia	STRING	SAMPLE	1				
ESTIMATED_LEUKOCYTE_PERCENTAGE	Estimated Leukocyte Percentage	Estimated leukocyte percentage.	NUMBER	SAMPLE	1				
ESTIMATE_COMBINED_SCORE	ESTIMATE combined score	ESTIMATE Score by ESTIMATE	NUMBER	SAMPLE	1				
ESTIMATE_IMMUNE_SCORE	ESTIMATE immune score	Immune Score by ESTIMATE	NUMBER	SAMPLE	1				
ESTIMATE_SCORE	ESTIMATE Score	ESTIMATE Score by ESTIMATE	NUMBER	SAMPLE	1				
ESTIMATE_STROMAL_SCORE	ESTIMATE stromal score	Stromal Score by ESTIMATE	NUMBER	SAMPLE	1				
EST_TUMOR_CELLULARITY	Estimated Tumor Cellularity	Estimated tumor cellularity.	STRING	SAMPLE	1				
ETE	ETE	ETE	STRING	PATIENT	1				
ETE_STATUS	ETE Status	Yes or No inidcator for extrathyroid extension	STRING	PATIENT	1				
ETHNICITY	Ethnicity Category	The text for reporting information about ethnicity.	STRING	PATIENT	1				
ETHNICITY_NAACCR	Ethnicity Category (NAACCR)	Indication of Spanish/Hispanic origin of the patient; this data element maps to the NAACCR v16 #190. For institutions not collecting Spanish/Hispanic origin, submit a null in this category for all patients.	STRING	PATIENT	1				
ETIOLOGY	Etiology	Etiology	STRING	PATIENT	1				
ETOH	EtOH	EtOH	STRING	PATIENT	1				
ETS	ETS	ETS	STRING	SAMPLE	1				
ETS_FUSION_SEQ	ETS Fusion SEQ	ETS fusion seq	STRING	SAMPLE	1				
ETS_RAF_SPINK1_STATUS	ETS RAF-SPINK1 Status	ETS RAF-SPINK1 status.	STRING	SAMPLE	1				
ETV1_EXPRESSION	ETV1 Expression	ETV1 Expression	NUMBER	SAMPLE	1				
ETV1_FUSION	ETV1 Fusion	ETV1 Fusion	STRING	SAMPLE	1				
ETV1_STATUS	ETV1 Status	ETV1 Status	STRING	SAMPLE	1				
ETV4_EXPRESSION	ETV4 Expression	ETV4 Expression	NUMBER	SAMPLE	1				
ETV4_FUSION	ETV4 Fusion	ETV4 Fusion	STRING	SAMPLE	1				
ETV4_STATUS	ETV4 Status	ETV4 Status	STRING	SAMPLE	1				
ETV6_RUNX1_FUSION_STATUS	ETV6-RUNX1 Fusion Status	ETV6-RUNX1 Fusion Status	STRING	SAMPLE	1				
EVENT_DETAILS	Event Details	Event Details	STRING	PATIENT	1				
EVENT_STATUS_FOR_DFS	Event Status For Disease Free Survival	Event Status For Disease Free Survival	STRING	PATIENT	1				
EVENT_TYPE	Event Type	Event Type	STRING	PATIENT	1				
EVENT_TYPE_DETAILED	Event Type Detailed	Detailed notes on event type	STRING	PATIENT	1				
EVER_METS_SITES	MedR Ever Metastatic Sites	All locations in the body where breast cancer spread at any point in the patient's treatment	STRING	PATIENT	1				
EVIDENCE_FOR_LOSS_OF_HER2	Evidence for Loss of HER2	Evidence for Loss of HER2	STRING	SAMPLE	1				
EXCESSIVE_FRAME_SHIFT_DELETIONS	EXCESSIVE FRAME-SHIFT DELETIONS	EXCESSIVE FRAME-SHIFT DELETIONS	STRING	SAMPLE	1				
EXOME	Exome	Exome	STRING	SAMPLE	1				
EXOME_CAPTURE	Exome Capture	Exome Capture	STRING	SAMPLE	1				
EXOME_SAMPLE_ID	EXOME Sample ID	EXOME Sample ID	STRING	SAMPLE	1				
EXOME_SEQ	Exome seq	Exome seq	STRING	PATIENT	1				
EXOME_SEQUENCED_IN_BARBIERI_ET_AL_2012	Exome Sequenced in Barbieri et al.	Exome sequenced in Barbieri et al.	STRING	SAMPLE	1				
EXON_IMBALANCE_SCORE	Exon Imbalance Score	Exon Imbalance Score	NUMBER	SAMPLE	1				
EXP	EXP	EXP	STRING	SAMPLE	1				
EXPOSURE	Exposure	Exposure	STRING	SAMPLE	1				
EXPRESSION_SUBTYPE	Gene Expression Subtype	Gene Expression Subtype	STRING	SAMPLE	1				
EXP_SAMPLE_ID	EXP Sample ID	EXP Sample ID	STRING	SAMPLE	1				
EXTENSION	Extension	Extension	STRING	SAMPLE	1				
EXTENSIVE_LOCAL_INVASION	Extensive Local Invasion	Extensive Local Invasion	STRING	PATIENT	1				
EXTENT_OF_METS	Extent of Mets	Extent of Mets	STRING	SAMPLE	1				
EXTRACAPSULAR_EXTENSION	Extracapsular Extension	The yes/no/unknown indicator that asks whether or not there is extracapsular extension.	STRING	SAMPLE	1				
EXTRACAPSULAR_EXTENSION_PRESENT	Extracapsular Extension present	Text term to describe the extent of extracapsular extension present in a case of bladder carcinoma.	STRING	SAMPLE	1				
EXTRACAPSULAR_SPREAD	extracapsular spread	extracapsular spread (ECS), can be yes or no	STRING	SAMPLE	1				
EXTRACAPSULAR_SPREAD_PATHOLOGIC	Extracapsular spread pathologic	Presence of pathological nodal extracapsular spread	STRING	PATIENT	1				
EXTRAHEPATIC_DISEASE	Extrahepatic Disease	Extrahepatic Disease	STRING	PATIENT	1				
EXTRAHEPATIC_DISEASE_PRE_PUMP	Extrahepatic Disease Pre-Pump	Yes or No indicator for extrahep disease pre pump usage	STRING	PATIENT	1				
EXTRAHEPATIC_DISEASE_SITE	Extrahepatic Disease Site	Extrahepatic Disease Site	STRING	PATIENT	1				
EXTRANOCULAR_NODULE_SIZE	Extranocular Nodule Size	Extranocular Nodule Size	STRING	SAMPLE	1				
EXTRANODAL_INVOLVEMENT	Lymphomatous Extranodal Site Involvement Indicator	Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.	STRING	PATIENT	1				
EXTRANODAL_INVOLVEMENT_SITE	Extranodal disease involvement site	Extranodal disease involvement site	STRING	SAMPLE	1				
EXTRANODAL_INVOLVMENT_OTHER	Extranodal disease involvement site	Extranodal disease involvement site	STRING	SAMPLE	1				
EXTRANODAL_LYMPHOMATOUS_INVOLVEMENT	Extranodal involvement	Extranodal involvement	STRING	SAMPLE	1				
EXTRAPROSTATIC_EXTENSION	Extraprostatic Extension	Extraprostatic extension	STRING	PATIENT	1				
EXTRASCLERAL_EXTENSION	Extrascleral Extension	Extrascleral Extension	STRING	SAMPLE	1				
EXTRATHYROIDAL_EXTENSION	Extrathyroidal Extension	Extrathyroidal Extension	STRING	SAMPLE	1				
EXTRAVASCULAR_MATRIX_PATTERNS	Extravascular Matrix Patterns	Extravascular Matrix Patterns	STRING	SAMPLE	1				
EXTRA_PANC_SPREAD	Extra-Panc Spread	Extra-Panc Spread	STRING	SAMPLE	1				
EXT_SLIDES_DES	External Slides Submitted	Indicates if these external slides were submitted.	STRING	SAMPLE	1				
EYE_COLOR	Eye Color	Eye Color	STRING	SAMPLE	1				
E_CIMP	E-CIMP	E-CIMP	STRING	SAMPLE	1				
FAB	FAB	FAB.	STRING	PATIENT	1				
FACETS	FACETS	FACETS	STRING	SAMPLE	1				
FACETS_PLOIDY	Ploidy (Facets)	Ploidy (Facets)	NUMBER	SAMPLE	1				
FACETS_PURITY	Facets Purity	Facets Purity	NUMBER	SAMPLE	1				
FAM175A_CNA	FAM175A CNA	FAM175A CNA	STRING	SAMPLE	1				
FAMILIAL_SYNDROME	Familial Syndrome	Familial Syndrome	STRING	PATIENT	1				
FAMILY_HISTORY	Family History	Family History	STRING	PATIENT	1				
FAMILY_HISTORY_CANCER_NUMBER_RELATIVES	Cancer diagnosis first degree relative number	Cancer diagnosis first degree relative number	STRING	PATIENT	1				
FAMILY_HISTORY_CANCER_RELATIONSHIP	Family History Cancer Relationship	Text indicator to represent a report or record of a cancer diagnosis in any relative with whom one half of an individual's genes is shared (i.e., parent, sibling, offspring).	STRING	PATIENT	1				
FAMILY_HISTORY_CANCER_TYPE	Family History Cancer Type	Family history cancer type.	STRING	PATIENT	1				
FAMILY_HISTORY_CANCER_TYPE_OTHER	Family History Cancer Type Other	Family History Cancer Type Other	STRING	PATIENT	1				
FAMILY_HISTORY_ESOPH_GASTIC_CANCER	History of esophageal cancer	History of esophageal cancer	STRING	PATIENT	1				
FAMILY_HISTORY_OF_CANCER	Family History of Cancer	Family history of cancer.	STRING	PATIENT	1				
FAMILY_HISTORY_OF_PRIMARY_BRAIN_TUMOR	Family History of Primary Brain Tumor	Family history of primary brain tumor.	STRING	PATIENT	1				
FAMILY_HISTORY_OF_RENAL_CELL_CARCINOMA	Family History of Renal cell carcinoma	Family History of Renal cell carcinoma	STRING	PATIENT	1				
FAMILY_HISTORY_OF_STOMACH_CANCER	Family History of Stomach Cancer	Family history of stomach cancer.	STRING	PATIENT	1				
FAMILY_HISTORY_OF_THYROID_CANCER	Family History of Thyroid Cancer	Family History of Thyroid Cancer	STRING	PATIENT	1				
FAMILY_HISTORY_OTHER_CANCER	Family history other cancer	Family history other cancer	STRING	PATIENT	1				
FAMILY_HISTORY_PRAD	Family History of Prostate Adenocarcinoma	Family History of Prostate Adenocarcinoma	STRING	PATIENT	1				
FAMILY_HISTORY_TESTICULAR_CANCER	Family history testicular cancer	Family history testicular cancer	STRING	PATIENT	1				
FAMILY_HISTORY_THYROID_CANCER	Family history thyroid cancer	First degree relative history thyroid gland carcinoma diagnosis relationship type	STRING	PATIENT	1				
FANCC_CNA	FANCC CNA	FANCC CNA	STRING	SAMPLE	1				
FANCC_MUT	FANCC Mutation	FANCC Mutation	NUMBER	SAMPLE	1				
FANCD2_CNA	FANCD2 CNA	FANCD2 CNA	STRING	SAMPLE	1				
FANCD2_MUT	FANCD2 Mutation	FANCD2 Mutation	NUMBER	SAMPLE	1				
FBXW7_MUTATION_STATUS	FBXW7 Mutation Status	FBXW7 Mutation Status	STRING	SAMPLE	1				
FEDPET_OR_CT_RESULTS	Fdg or ct pet performed outcome	Fdg or ct pet performed outcome	STRING	PATIENT	1				
FEMALE_BREAST_FEEDING_OR_PREGNANCY_STATUS_INDICATOR	Female Breast Feeding or Pregnancy Status Indicator	Yes/No indicator to determine if female is breast feeding or pregnant.	STRING	PATIENT	1				
FEV1_FVC_RATIO_POSTBRONCHOLIATOR	Fev1 fvc ratio postbroncholiator	Fev1 fvc ratio postbroncholiator	NUMBER	PATIENT	1				
FEV1_FVC_RATIO_PREBRONCHOLIATOR	Fev1 fvc ratio prebroncholiator	Fev1 fvc ratio prebroncholiator	NUMBER	PATIENT	1				
FEV1_PERCENT_REF_POSTBRONCHOLIATOR	Fev1 percent ref postbroncholiator	Fev1 percent ref postbroncholiator	NUMBER	PATIENT	1				
FEV1_PERCENT_REF_PREBRONCHOLIATOR	Fev1 percent ref prebroncholiator	Fev1 percent ref prebroncholiator	NUMBER	PATIENT	1				
FGA	FGA	FGA	NUMBER	SAMPLE	1				
FGF1	Fgf1	Fgf1	NUMBER	PATIENT	1				
FGF2	Fgf2	Fgf2	NUMBER	PATIENT	1				
FGFR1_FISH	FGFR1 FISH	FGFR1 FISH	STRING	PATIENT	1				
FGFR1_MUTATION	FGFR1 Mutation	FGFR1 Mutation	STRING	SAMPLE	1				
FGFR1_SOMATIC	FGFR1 Somatic Mutation	FGFR1 Somatic Mutation	STRING	SAMPLE	1				
FGFR2_MUTATION_STATUS	FGFR2 Mutation Status	FGFR2 Mutation Status	STRING	SAMPLE	1				
FGFR_ABNORMALITY	FGFR Abnormality	FGFR Abnormality	STRING	SAMPLE	1				
FIBER_PER_GM_IN_LUNG	Fiber/gm Lung	Fiber/gm Lung	NUMBER	SAMPLE	1				
FIGURE_1A	Figure 1A	Figure 1A	STRING	SAMPLE	1				
FIGURE_1B	Figure 1B	Figure 1B	STRING	SAMPLE	1				
FIGURE_2	Figure 2	Figure 2	STRING	SAMPLE	1				
FIGURE_3	Figure 3	Figure 3	STRING	SAMPLE	1				
FIGURE_4A	Figure 4A	Figure 4A	STRING	SAMPLE	1				
FIGURE_4B	Figure 4B	Figure 4B	STRING	SAMPLE	1				
FINAL_GRADE	Final Grade	Final Grade	STRING	SAMPLE	1				
FIRST_ADJUVANT_TX_TYPE	Type of First Systemic Therapy ADJ	Type of First Systemic Therapy ADJ	STRING	PATIENT	1				
FIRST_CYCLE_XRT	First Cycle XRT	First Cycle XRT	STRING	PATIENT	1				
FIRST_DIAGNOSIS_AGE_ASTH_ECZ	Age at First Diagnosis of ASTH-ECZ	Age at first diagnosis of ASTH-ECZ.	STRING	PATIENT	1				
FIRST_DIAGNOSIS_AGE_OF_ANIMA	Age at First Diagnosis of Anima	Age at first diagnosis of Anima.	STRING	PATIENT	1				
FIRST_DIAGNOSIS_AGE_OF_FOOD_ALLERGY	Age at First Diagnosis of Food Allergy	Age at first diagnosis of food allergy.	STRING	PATIENT	1				
FIRST_DISTANT_RECURRENCE_SITE	Site of First Distant Recurrence	Site of First Distant Recurrence	STRING	PATIENT	1				
FIRST_EVENT	First Event	First Event	STRING	PATIENT	1				
FIRST_LINE_THERAPY	First Line Therapy	First Line Therapy	STRING	PATIENT	1				
FIRST_MET_TX_TYPE	Type of First Systemic Therapy MET	Type of First Systemic Therapy MET	STRING	PATIENT	1				
FIRST_PRESENTING_SYMPTOM	First Presenting Symptom	First presenting symptom.	STRING	PATIENT	1				
FIRST_PRESENTING_SYMPTOM_LON	First Presenting Symptom LON	First presenting symptom LON.	STRING	PATIENT	1				
FIRST_RECURRENCE_RESECTABLE_FOR_NED	First Recurrence Resectable for NED	First Recurrence Resectable for NED	STRING	PATIENT	1				
FIRST_SITE_OF_METS	First Site of Metastasis	First Site of Metastasis	STRING	SAMPLE	1				
FIRST_SITE_OF_MET_DETAILED	First Site of Metastasis (Detailed)	First Site of Metastasis (Detailed)	STRING	SAMPLE	1				
FIRST_SURGICAL_PROCEDURE_OTHER	First surgical procedure other	Surgical procedure purpose other text	STRING	SAMPLE	1				
FIRST_SYMPTOM_LONGEST_DURATION	First symptom longest duration	First symptom longest duration	STRING	PATIENT	1				
FIRST_SYSTEMIC_GIVEN_WITH_PUMP	First Systemic Given with Pump	First Systemic Given with Pump	STRING	PATIENT	1				
FIRST_TREATMENT_SUCCESS	First treatment success	First treatment success	STRING	PATIENT	1				
FISH_AR	FISH AR	FISH AR	STRING	SAMPLE	1				
FISH_TRANSLOCATION	FISH Translocation	FISH translocation.	STRING	SAMPLE	1				
FLI1_EXPRESSION	FLI1 Expression	FLI1 Expression	NUMBER	SAMPLE	1				
FLI1_STATUS	FLI1 Status	FLI1 Status	STRING	SAMPLE	1				
FLOWCELL_ANALYSIS	Flowcell Analysis	The FMI identifier for the analysis run that generated this variant report	NUMBER	SAMPLE	1				
FLOW_ABNORMAL_BLAST	Flow Abnormal BLAST	Flow Abnormal BLAST	STRING	PATIENT	1				
FLT3_ITD_ALLELIC_RATIO	FLT3-ITD Allelic Ratio.	FLT3-ITD allelic ratio.	STRING	SAMPLE	1				
FLT3_ITD_POSITIVE	FLT3-ITD Postive	FLT3-ITD positive.	STRING	SAMPLE	1				
FLT3_NEGATIVE	Negative for FLT3	Negative for FLT3	STRING	SAMPLE	1				
FLT3_PM	FLT3-PM	FLT3-PM.	STRING	SAMPLE	1				
FLT3_POSITIVE	Positive for FLT3	Positive for FLT3	STRING	SAMPLE	1				
FMI_CASE_ID	FMI Case Id.	Foundation medicine case id.	STRING	SAMPLE	1				
FNCLCC_GRADE	FNCLCC Grade	FNCLCC Grade	NUMBER	SAMPLE	1				
FOCAL_DRIVER_CN	Gene with focal SCNA, CN level	Gene with focal SCNA, CN level	STRING	SAMPLE	1				
FOCAL_LESIONS_AT_RELAPSE	Focal Lesions At Relapse	Focal Lesions At Relapse	STRING	SAMPLE	1				
FOLLICULAR_COMPONENT_PERCENT	Percentage of follicular component	Percentage of follicular component	STRING	SAMPLE	1				
FOLLOWUP_LENGTH	Follow up length (year)	Follow up length	STRING	PATIENT	1				
FOLLOWUP_TIME_FROM_START_OF_CHEMO	Followup time from start of Chemo (months)	Followup time from start of Chemotherapy in months	NUMBER	PATIENT	1				
FOLLOWUP_TREATMENT_SUCCESS	Followup treatment success	Followup treatment success	STRING	PATIENT	1				
FOLLOWUP_YEARS	Followup (years)	Followup in years	NUMBER	PATIENT	1				
FOLLOW_UP_TIME_MONTHS	Follow up time months	Follow up time months	NUMBER	PATIENT	1				
FOOD_ALLERGY_AGE	Age of Food Allergy	Age of Food Allergy	NUMBER	PATIENT	1				
FOOD_ALLERGY_HISTORY	Food Allergy History	Food allergy history.	STRING	PATIENT	1				
FOOD_ALLERGY_TYPES	Food Allergy Types	Food allergy types.	STRING	PATIENT	1				
FORM_COMPLETION_DATE	Form completion date	Form completion date	STRING	PATIENT	1				
FOXA1_MUTATION	FOXA1 mutation	FOXA1 mutation is present	STRING	SAMPLE	1				
FPSA_PSA	FPSA/PSA	FPSA/PSA	NUMBER	PATIENT	1				
FRACTION_CNA	Fraction CNA	Fraction CNA	NUMBER	SAMPLE	1				
FRACTION_GENOME_ALTERED	Fraction Genome Altered	Fraction Genome Altered	NUMBER	SAMPLE	1				
FRAMESHIFT_DELETION	Frameshift Deletion	Frameshift Deletion	STRING	SAMPLE	1				
FRAMESHIFT_INSERTION	Frameshift Insertion	Frameshift Insertion	STRING	SAMPLE	1				
FUHRMAN_GRADE	Fuhrman Grade	Fuhrman Grade	STRING	SAMPLE	1				
FUNCTIONAL	Functional	Functional	STRING	SAMPLE	1				
FUPTIME	Fuptime	Fuptime	NUMBER	PATIENT	1				
FUPTIME_MONTHS	F-Uptime (months)	F-Uptime in months.	STRING	PATIENT	1				
FUSED_EXONS	Fused Exons	Fused Exons	STRING	SAMPLE	1				
FUSION	Fusion	Fusion	STRING	SAMPLE	1				
FUSION_BY_RNA_PCR	Fusion By RNA PCR	Fusion By RNA PCR	STRING	SAMPLE	1				
FUSION_OTHER	Other Gene Fusion	Description of other gene fusions identified by RT-PCR/qPCR/WGS (non-MYB/MYBL1/NFIB).	STRING	PATIENT	1				
FUSION_STATUS	Fusion Status	Yes/No indicator of fusion status	STRING	SAMPLE	1				
GAIN_8Q	8q Gain	8Q gain	STRING	SAMPLE	1				
GALLBLADDER_STONES	Gallbladder Stone	Gallbladder Stone	STRING	SAMPLE	1				
GASTRECTOMY	Gastrectomy	Gastrectomy	STRING	PATIENT	1				
GASTRIC_CLASSIFICATION	Gastric Classification	Gastric Classification	STRING	SAMPLE	1				
GCLID	Gclid	Gclid	NUMBER	PATIENT	1				
GEA	GEA	GEA	STRING	PATIENT	1				
GEACIN	GEA-CIN	GEA-CIN	STRING	PATIENT	1				
GEACINSMG	GEA-CIN-SMG	GEA-CIN-SMG	STRING	PATIENT	1				
GEAGEJ	GEA-GEJ	GEA-GEJ	STRING	PATIENT	1				
GEASMG	GEA-SMG	GEA-SMG	STRING	PATIENT	1				
GEA_CIN_INTEGRATED_CLUSTER_COCA	GEA CIN Integrated Cluster COCA	GEA CIN Integrated Cluster COCA	STRING	SAMPLE	1				
GEA_CIN_INTEGRATED_CLUSTER_CONSENSUS	GEA CIN Integrated Cluster Consensus	GEA CIN Integrated Cluster Consensus	STRING	SAMPLE	1				
GEA_CIN_INTEGRATED_CLUSTER_ICLUSTER	GEA CIN Integrated Cluster iCluster	GEA CIN Integrated Cluster iCluster	STRING	SAMPLE	1				
