Hugo_Symbol	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO005	05CO006	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004
hsa-miR-186-5p	12.2909	11.537	12.6127	12.1817	12.2994	11.3756	12.4574	11.4358	9.6641	10.682	11.1616	11.7954	12.3505	11.1704	12.0328	10.3245	12.5534	11.4821	12.5381	11.9056	11.1101	11.7305	11.9466	12.3426	11.221	12.2405	12.3508	11.798	11.5019	11.7786	12.8357	12.5928	11.998	11.1397	11.7549	12.3901	12.5291	12.0066	11.6974	12.0859	12.3021	12.4561	11.5588	11.9732	12.2157	12.1876	11.5625	12.8479	12.4561	12.0785	12.3358	12.011	12.1688	12.0358	11.321	11.5456	12.628	12.1464	12.2132	12.1261	11.682	12.0312	13.1852	11.6635	12.1748	11.4927	12.0686	11.3044	11.9631	11.9845	11.9876	12.2538	12.2609	12.067	13.1577	11.693	12.1599	12.1033	12.1201	12.1823	11.8136	11.4556	12.109	11.7471	11.1317	12.3178	11.6253	11.997	11.7682	12.6352	11.5191	11.772	11.9412	11.7282	11.9821	10.49	10.7754	12.2102	11.976	11.9255	11.9648	12.4027	11.7128	12.6756	11.9116
hsa-miR-187-3p	0	0.3794	1.0681	1.5591	0.4134	0.3876	0.1735	1.6003	0	1.4556	0.8017	0	0.2097	0.1151	0.3389	0.5627	1.0709	0	0.9201	0.2265	0.7063	1.5154	1.8215	4.1275	0.684	0	0	0.467	1.4062	0.3533	1.13	0.6338	0.4156	1.4067	0.621	2.0651	1.6587	3.0908	3.9397	0.7537	1.1927	0.5939	0	2.6271	0.2985	0.3072	2.0475	1.0729	2.2615	1.1038	2.3201	2.6623	0.3983	0.9037	2.0585	0.7337	2.4952	2.4338	2.2767	3.3039	2.6039	2.3813	1.1443	1.8012	1.1854	2.2153	1.1551	0.3871	1.2194	1.6833	2.9612	1.4632	1.8367	3.0327	0.7582	0	3.4183	0.9437	0.798	2.2307	2.0321	1.2478	0.9557	2.5085	2.7399	0.8245	0	2.7089	1.3297	1.5616	4.2667	1.4434	0.5633	1.6006	1.3396	1.8671	5.4861	0.2094	0.2475	0.7708	0.3652	0.3247	0.4696	0.8613	0
hsa-miR-188-3p	1.6835	1.7681	0.3496	1.1484	0.5006	0.6929	1.0162	1.0115	0.3872	0.7256	1.0805	1.3228	0.3927	1.0562	0.3389	0	0.9586	0.5479	1.2642	0.4223	0.7063	0.4314	1.1262	1.0796	0.2657	1.3994	1.2171	0.2523	0.4115	0.8739	0.8868	0.3514	0.4156	0.7316	0	1.0437	1.0556	0.4811	0.6904	0.8352	0.8626	1.4764	1.0072	0.5565	0.7567	0.9628	0.8347	1.0729	0.7647	1.4884	0.43	0.8431	0.3983	0.9037	0.6112	0.413	1.4873	0	1.6093	0.2496	0.3772	1.4449	1.709	0.8037	0.3275	0.6847	0.7665	0.692	0.6356	0.3521	0.2138	0	0.4021	1.2849	1.8217	0.4731	0.7942	0.9437	0.9891	0.3735	0.7229	0.3505	0.9557	0.476	0.7499	0.4704	0.3308	0.1787	0	0.6157	0.2272	0.9674	0.5633	0	0.7118	0	0.3941	0.9539	0.6429	0.4363	1.1688	0.5896	0.2538	1.0861	0.2143
hsa-miR-188-5p	2.1104	4.6858	3.8237	4.6209	4.8098	0.9447	5.1135	4.5297	1.158	1.6683	2.4487	4.1057	2.7406	3.8323	3.0501	1.7592	3.9064	3.7766	4.6416	4.1837	3.8969	3.1156	4.0035	4.554	2.0825	4.4088	4.8189	1.9512	2.7952	3.8401	3.5271	3.1916	1.5865	4.089	2.1689	4.3319	4.4616	3.6863	2.6596	3.7492	4.3591	4.4682	3.8878	2.9241	3.6163	3.5747	3.0999	3.8871	2.7639	3.8542	2.269	3.798	2.8793	3.2792	3.1273	4.1353	3.4318	2.9269	4.8805	3.0966	3.0305	3.4531	3.928	4.1004	2.8819	3.153	4.2453	2.7756	3.8587	3.0813	2.7203	2.5285	3.4336	3.1707	4.9415	4.1759	2.982	1.9643	4.5337	2.9898	3.592	2.1936	4.2545	3.1403	4.5117	4.3415	2.4281	3.7294	4.0455	3.4035	2.3486	4.1078	3.2139	3.1907	3.6417	3.3392	2.2852	5.8774	4.7151	3.0111	4.5248	4.583	2.5853	3.2283	2.8249
hsa-miR-18a-3p	4.6629	3.9483	4.2342	3.6646	5.8434	4.2697	5.3466	4.917	1.792	4.3027	4.4469	4.5498	5.337	4.9666	5.2608	5.3088	6.3955	4.7848	5.9315	5.1225	6.1472	5.7712	4.5838	4.5811	4.4074	5.8487	6.0338	5.5565	3.572	4.8032	5.8782	5.3524	5.0755	5.6499	5.1136	5.2131	5.4464	5.3705	3.9032	4.815	5.7661	4.1748	4.4287	4.9545	5.2912	5.5112	4.7611	5.2258	2.6306	3.9182	4.8207	4.3093	4.3833	4.2029	3.9022	5.4732	5.0535	4.6405	4.5894	4.6319	2.7392	2.753	5.2619	3.9227	4.5022	4.409	4.342	5.0845	3.9545	5.152	2.9162	5.3277	4.3931	4.386	5.3931	5.0107	4.2854	5.279	6.2685	4.1452	2.9079	4.7318	5.4039	5.339	4.9748	6.9128	5.9859	3.7004	4.9133	5.681	4.0173	4.0255	5.5839	3.9971	3.6417	4.564	4.8611	4.3917	4.1421	4.8961	5.6402	4.8077	4.0346	5.9034	3.8045
hsa-miR-18a-5p	4.8952	4.9785	4.9867	3.0949	4.9344	1.5107	5.182	5.6372	2.567	3.4622	3.0759	7.1245	4.9703	5.8098	5.5201	3.6379	4.4434	4.7104	4.1454	3.1129	3.3106	2.3074	3.8513	4.5264	2.3346	7.2226	5.7564	3.9743	2.7249	3.3247	4.496	3.7747	4.4173	3.4903	3.7557	4.1856	6.1656	4.0646	2.9896	3.8989	4.991	3.7794	3.5574	2.9897	4.7098	4.0376	3.3787	4.5873	3.0251	5.2886	3.0367	6.0723	3.4083	3.9419	3.1273	3.693	4.0182	2.4338	7.4605	4.6209	3.6528	4.4375	6.9213	6.0441	4.4273	4.9334	4.924	4.3926	4.1152	5.1237	3.7504	4.1245	3.1499	3.9892	5.4166	3.7668	3.9823	3.8337	3.9907	2.7574	4.828	2.2778	3.5756	3.6132	3.4886	5.5327	3.6103	4.0029	3.0666	4.34	3.5952	3.1115	4.4181	2.5372	3.0702	2.2258	2.7569	5.9021	3.3463	5.4562	5.3356	3.9554	3.0548	5.5761	5.0103
hsa-miR-18b-5p	0	0	0	0	0.2719	0	0.0331	0.3265	0	0.8176	0	0.6786	0	0.2721	0.1794	0	0.2107	0.1577	0.1731	0	0.2115	0	0	0	0	0.3033	0.3391	0.2523	0	0.3533	0	0.0962	0	0	0.182	0.1456	0.1825	0	0	0.1349	0.1595	0	0	0.3049	0	0	0	0.1865	0.4849	0.4961	0	0.6481	0	0.1955	0.2337	0	0.3308	0	0.174	0.3598	0.7418	0.2526	1.094	1.3168	0.7111	0.266	0	0.692	0.4137	0.1868	0.7127	0.1706	0	0.2693	0.1573	0	0.5265	0.3378	0	0	0.1128	0	0	0	0	0	0	0.0921	0	0	0.2272	0.2523	0.7109	0	0	0.198	0.1437	0.7002	0	1.3223	0.4309	0.7057	0.3657	0.2681	0.1111
hsa-miR-1908-3p	1.0745	0.3794	0.6307	0	0.9968	0.3876	0	0	0	0	0.4559	0	0.3927	0.2721	0	0	1.2244	0.5479	0.1731	0.4223	0.7063	0.6607	0	0	0.2657	0.3033	1.0425	0.2523	0	0	0.4218	0.3514	0	0.9933	0.8535	0	0	0.8412	0.5462	0.7537	0.1595	0.3273	0	0	0.2985	0.9628	0.6063	0.3515	0.1373	0	0.231	0	0	0	0.1216	0	0.3308	0	0	0	0.2009	0	0.5399	0	0.3275	0	0.4335	0.3871	0.4137	0.635	0.5648	0	0.5678	0.2693	0.2992	0.2558	0	0.481	0.5777	0.1988	0.2174	0	0.3044	0.0233	0	0.4704	1.0222	0.1787	0.6485	0.7738	0.1181	0.2523	1.6181	0.2889	0	0	0.3355	0	0	0	0	0	0	0.4408	0
hsa-miR-1908-5p	0	1.7681	2.0057	0.3142	2.165	1.159	0.5958	1.0115	0.3872	1.764	1.3141	1.0007	0.5551	2.2439	1.0422	1.7592	1.0709	0.7596	0.1731	1.5212	1.6102	1.1122	0.7449	1.0796	0.49	0.7672	1.6414	0.6539	0.7313	1.0773	0.594	2.0121	1.5865	1.5761	2.407	1.1851	0.8552	1.3691	1.1554	1.7867	1.2647	0.3273	0	1.6407	1.3835	1.5352	1.0318	0.3515	0.2627	0.7283	1.0299	0.4225	0.2128	0.3677	0.7685	1.41	1.022	1.7977	0.5972	0	0.2009	1.1032	0.5399	0.3202	1.7197	1.5967	0.9079	1.7916	0.4137	1.8024	0.7127	0.3231	1.2908	1.61	0.2992	1.556	0.5265	0.9437	2.153	0.9157	1.0965	1.0703	1.6388	2.4058	1.8071	1.3459	1.4876	0.9434	1.7094	1.5616	0.5961	0.6537	1.9507	2.287	0.7118	2.1797	1.7691	0.8326	0.8062	1.1608	1.2291	1.0069	1.1071	0.7779	0.7142
hsa-miR-190a-5p	5.2288	5.489	5.9795	8.1225	4.95	5.1938	6.0597	6.4468	2.4901	2.2337	4.6739	5.4176	5.2655	5.3114	4.2486	0.5627	5.1327	4.6911	7.0215	4.6325	3.6102	2.4675	5.7876	4.7872	4.5881	7.2726	4.56	1.5417	4.3323	3.6297	6.2246	6.316	3.8767	4.1838	4.2496	5.8475	7.5411	4.944	5.6172	6.2117	5.1081	3.7524	6.0401	3.4127	5.5643	6.8277	5.3235	6.6186	6.9686	5.9295	5.2896	6.6729	5.409	5.4817	6.3521	3.5775	5.0922	4.6083	6.3824	5.3184	6.4036	6.1915	5.3608	5.2108	5.2217	4.5897	4.5756	3.1702	5.2987	5.0653	5.3653	5.2958	4.3986	5.1237	5.676	3.6378	4.2908	3.1983	3.3379	4.7576	6.6735	2.5045	3.0084	2.2663	2.0638	6.4132	5.1196	5.424	5.5662	5.0222	6.0551	4.1078	4.6553	4.4936	6.0298	1.6133	2.0861	6.89	5.9192	5.9272	6.5665	6.1893	4.3457	4.5677	5.7095
hsa-miR-190b	1.0745	0.6794	2.7565	1.6736	2.3407	2.7775	2.4859	1.6595	0.3872	1.9381	1.6914	1.0007	3.141	2.5973	2.714	3.0277	1.7479	1.1077	1.8275	1.5212	1.2757	1.8302	1.8215	1.6901	1.0079	2.0962	2.1084	1.8781	1.8642	2.4437	1.4319	1.962	2.417	2.4915	2.0799	1.643	1.9379	2.0926	3.2385	1.7867	2.0953	2.4812	1.424	2.0213	2.2258	2.0715	2.2192	2.2818	0.999	1.4015	1.7037	0.8431	1.3727	1.455	1.0393	1.5796	1.939	1.2485	1.0183	2.6085	1.0326	1.8794	2.5275	0.9957	1.3386	1.9389	1.9926	1.5092	1.0753	1.2523	1.7119	1.5889	1.8367	1.4016	2.5459	2.1983	1.3458	1.1291	2.3747	1.6175	1.0965	1.9067	2.5687	1.824	3.4886	2.7617	2.2828	1.2133	2.3141	1.8725	1.1885	1.4434	1.8267	1.0764	1.5428	1.6133	1.4751	1.5231	2.4072	1.4675	2.7776	1.3302	1.4495	1.9857	1.0848
hsa-miR-191-3p	4.7837	3.8614	4.5194	3.519	5.7619	3.7028	3.7848	4.7086	2.2309	2.4214	4.0538	3.562	3.7097	3.0252	4.8876	3.6921	5.3331	3.5103	4.8473	4.4425	5.0295	4.6128	2.4536	3.4026	2.9773	3.5273	4.9698	4.3437	1.9894	5.2759	2.7599	5.009	3.5465	5.5415	5.033	4.0627	4.7047	3.7724	3.296	4.8741	4.9616	4.1748	2.951	3.4127	4.7535	5.212	3.8916	3.8323	2.5833	2.8557	2.6344	2.7378	3.1869	3.0954	3.9793	3.9073	4.6418	3.3725	3.2022	2.3659	2.9767	3.0483	3.8991	2.5165	4.026	3.1198	3.9748	3.8621	3.117	3.7185	2.9313	3.9828	3.9208	3.7788	4.2977	4.2216	3.8143	2.8742	4.4386	4.1452	2.5151	4.7318	4.2002	4.1544	4.7496	6.1133	4.5968	3.5623	4.7806	5.2511	3.014	3.1739	4.2472	2.3924	3.9933	3.9186	3.3526	4.9316	4.3681	3.2968	3.2403	4.8461	2.3333	3.9728	3.4072
hsa-miR-191-5p	15.8896	15.7368	14.8375	14.782	15.3457	14.5797	14.876	15.2204	12.986	13.9718	15.4982	14.3836	15.583	14.594	15.9617	14.3795	14.8707	14.6077	14.8991	14.3564	14.5324	14.3552	13.6276	14.5912	13.6677	14.2645	14.6658	14.5958	14.263	15.6278	14.1388	15.2098	14.4743	15.7548	16.0615	14.9709	14.3722	14.1176	14.2972	14.9054	15.3178	14.7586	14.0248	15.0457	15.3029	15.6123	15.1905	15.5762	13.3687	13.6997	14.1451	13.8538	13.9798	14.3024	14.0453	14.2389	15.409	15.2827	14.241	13.9627	13.761	13.9243	15.1521	13.4594	14.7284	14.2068	14.6668	14.8456	14.0748	15.0796	13.6066	14.7346	14.8107	14.7493	15.4163	15.1887	14.3413	14.153	15.1885	14.859	13.7307	14.9845	15.4698	15.0978	15.4213	16.1416	14.5947	14.0517	15.2843	14.9178	13.6556	14.3049	14.9186	14.1918	14.6532	14.1809	14.2799	15.0701	14.9181	13.994	14.0701	15.1488	12.9982	14.4751	14.0197
hsa-miR-1910-5p	2.7071	0	0.3496	0	0.9968	2.7111	0.1735	0.3265	0	0.9857	0.4559	0.6786	1.1708	1.27	1.2966	1.9494	0.3945	0.9441	1.663	0	1.2757	2.0074	0.5916	0	0	0	2.371	3.9023	0.4115	2.0189	0.2263	0.6338	2.1718	1.2148	0.9571	0.9675	1.0556	1.1292	0.6201	0.9123	0.9954	0.5939	0	1.4046	0.7567	2.262	0.8347	0	0.1373	0	0.6049	0.4225	0.3983	0	0.2337	0	0.9274	0.3507	0.3293	0	0	0.4675	0.6131	0	0.5942	0.4904	0.9079	1.1577	0.2886	1.4107	0	1.1732	1.1928	1.5096	1.6202	1.556	0.7942	0.3378	1.6853	0.5293	0.5733	3.0745	0.9557	1.6098	1.6064	2.7201	0.3308	0	0.25	0.2357	0.8217	0.2523	1.0803	0.6363	1.0148	2.0318	0.557	2.761	1.086	0.4363	0.2534	1.3302	0.4696	2.225	0
hsa-miR-192-3p	6.1656	6.6625	5.6773	6.6996	5.4803	4.3735	6.3379	5.0557	2.4088	3.7224	5.0262	6.0149	3.4088	4.9818	5.0806	3.1873	5.3774	4.2493	6.0884	5.4488	4.3632	3.1909	4.7102	5.444	3.8221	5.8545	4.5021	1.1022	5.016	5.3166	4.7719	6.2716	4.4397	5.402	5.033	5.5239	5.7936	5.7345	4.9735	5.7555	6.0262	5.9803	5.0288	4.9157	5.2742	5.2485	5.1055	6.0885	5.2982	5.0874	5.3645	6.0013	5.4035	5.6948	5.0057	4.8502	5.4176	5.4298	5.2833	5.3387	5.2611	4.8834	5.0377	4.7466	5.5269	5.1586	6.0296	4.164	4.4026	5.4545	4.4332	5.3004	4.9267	5.6874	6.4461	5.3496	4.8819	4.652	5.9841	5.4974	5.1222	3.7113	4.832	5.072	5.1419	5.8877	5.6942	4.529	4.4594	5.472	5.2531	4.9892	5.4003	5.4853	4.9293	3.1609	3.7166	5.7281	6.1871	5.2101	5.4631	5.9383	3.5093	4.501	5.1273
hsa-miR-192-5p	15.6299	16.3536	15.5282	16.991	16.1187	15.6494	17.0448	16.7241	14.1095	13.7996	14.9052	16.9944	14.1098	15.766	15.8991	11.7253	16.0885	15.4409	16.2253	15.368	14.1408	12.8886	15.3774	16.1947	14.0624	17.3971	15.9523	10.5672	15.9094	14.4477	15.9184	17.041	15.1054	14.606	15.4813	16.3262	16.6139	15.7679	15.6869	16.3117	16.6715	16.9964	16.1552	15.27	16.498	15.9572	15.8332	17.3068	16.6003	16.5925	16.0662	17.5047	16.7012	16.0432	16.0296	14.5272	16.4824	14.9717	16.6155	17.0717	16.6127	16.7633	16.2632	15.7282	16.0086	15.8435	16.426	14.4012	15.6977	16.3547	16.1864	15.6976	15.1927	16.3885	16.8653	15.6325	15.7185	15.5061	15.2549	16.1354	16.6051	13.1653	14.9318	13.2689	14.1125	16.2571	16.2255	15.7658	14.3995	16.3803	16.1617	15.2897	16.1987	15.6694	15.6987	12.4914	12.3947	17.4582	16.8195	16.554	16.5832	16.9657	15.5104	15.5337	16.348
hsa-miR-193a-3p	1.0745	3.4161	4.0555	4.1131	3.2506	1.3455	4.4401	2.8442	0.4427	3.1085	2.7168	4.2391	3.5595	2.7978	2.5497	0.9665	5.2391	2.5487	5.3643	3.4077	2.9617	3.9197	3.3871	4.9605	2.5492	3.1375	2.1304	3.4598	3.1573	2.2327	2.5804	3.444	1.5865	2.6517	1.3862	3.795	5.367	5.4068	3.9683	4.4727	4.9232	3.6391	2.8868	1.7457	3.2133	3.4959	3.3171	4.0641	4.6525	3.7406	5.1187	4.7442	3.2364	5.297	4.8907	4.9972	3.4433	3.4831	4.9776	2.6525	3.6839	4.7078	5.1495	4.1057	1.6035	3.9232	4.7564	2.3222	3.4053	3.5919	2.4093	3.0201	2.9036	2.4813	2.8215	4.0632	3.5507	3.7919	2.3045	3.5284	5.3133	2.0088	3.6539	2.8907	2.1402	4.8065	1.4876	3.1978	4.616	3.3593	4.0224	4.2449	4.9184	3.3474	3.4916	4.0267	3.6973	4.7056	4.4068	3.405	4.3749	2.7121	4.3158	4.3187	3.6413
hsa-miR-193a-5p	6.6831	8.2175	6.4376	5.6623	6.0803	6.3803	6.0033	6.7484	3.0145	8.6499	7.329	5.3257	7.7636	7.9891	6.4131	6.6263	7.3017	5.034	7.7139	7.8608	8.02	7.5611	6.4472	7.3517	6.0687	4.2314	5.6969	6.1174	7.269	8.2303	6.0974	6.8146	4.9251	7.7549	7.2597	7.4139	7.1758	8.0042	5.3305	6.9535	7.1974	5.3702	5.1838	7.5259	7.2437	7.5361	7.2793	6.9677	5.8178	4.4603	7.4482	5.668	5.4877	7.2935	7.4183	7.0327	7.4556	8.0539	6.5476	5.9409	6.1766	5.9774	5.2156	5.3226	6.2894	7.1301	6.9028	5.9164	6.6902	8.0032	6.5633	7.3218	7.1689	6.5256	6.3311	8.3223	6.6291	7.4697	8.0769	6.6939	5.931	7.5438	8.8717	9.5871	8.9432	8.9223	6.0658	7.1257	8.0708	6.5198	6.433	7.5926	8.265	7.0506	7.2041	9.0057	8.4675	7.7242	7.3192	6.5398	7.1556	6.6575	6.3505	7.1313	6.2162
hsa-miR-193b-3p	7.9327	6.6774	7.7657	7.6513	7.7348	6.4506	7.0731	7.6218	4.306	9.2033	8.2115	7.5819	7.0046	7.745	7.6686	7.9768	7.404	6.6863	8.0941	7.5225	7.9078	8.9323	7.7414	8.2528	7.0688	4.5233	7.21	8.4254	7.5276	7.5698	6.8458	7.0301	5.9487	6.9525	6.8359	7.6819	7.2429	9.5013	7.092	8.036	7.8763	6.4546	7.3058	7.5572	7.9141	8.5084	8.003	6.9436	7.1123	6.2762	8.9281	6.6667	7.8116	8.3645	7.5033	8.4865	8.0186	8.257	8.0074	6.1981	7.3073	7.0201	7.8315	7.9572	8.1035	8.6959	8.8321	7.6863	7.5546	8.1903	7.0913	8.2208	8.2399	7.739	7.7885	8.5552	8.1158	8.1036	7.9888	7.7212	6.9577	8.2777	8.3981	9.0784	8.3209	7.6556	6.8201	7.1058	8.4657	7.5534	6.2744	7.7628	7.7682	7.3663	8.1793	9.6768	8.8583	7.4485	6.4183	7.2209	6.5757	6.7398	7.4093	8.3548	8.0034
hsa-miR-193b-5p	1.6835	1.1395	1.4033	0.7908	1.7325	1.3455	1.2667	1.8238	0.3872	3.2473	2.6328	1.6791	1.444	1.4168	1.8672	2.4041	2.6297	1.6225	2.0657	2.7972	3.019	3.0961	1.8215	1.6901	1.7767	0.5538	1.7014	2.2698	1.2143	2.3682	0.8868	1.962	1.4165	1.5761	1.7743	1.3139	1.3884	3.497	1.467	2.2401	2.0552	1.6027	0.4186	2.1796	2.295	2.4616	1.7443	1.409	0.5843	0.5777	2.9901	0.5397	2.2675	2.4206	1.2672	2.8004	2.1209	2.3584	0.823	0.6476	1.4816	1.8794	1.4137	1.3168	1.1854	2.5505	2.3309	1.7916	1.7806	3.0813	1.6212	1.5889	2.4168	1.7039	1.8217	2.2871	1.4657	2.2707	2.0708	1.4714	1.2023	2.8174	2.8292	3.6917	2.8801	1.7281	1.3485	1.0391	2.2581	2.3451	0.9546	2.0204	1.9507	2.3407	2.4835	3.6745	2.1213	1.4425	1.5218	1.3724	1.4979	1.0069	1.7261	2.4302	1.4655
hsa-miR-194-3p	6.958	6.3291	6.3113	6.423	7.6787	6.6364	5.8503	5.2072	3.1205	5.4433	6.982	6.6395	4.5609	6.3996	6.3675	5.1819	5.9959	4.3589	7.1978	7.7834	6.8287	5.7117	5.0304	5.4638	4.1535	5.4613	5.4547	1.8781	4.8608	6.987	4.7927	6.9163	4.9948	6.9659	7.3829	6.0886	5.9674	6.2708	5.703	6.8761	6.1006	6.3162	4.3113	6.3423	6.2269	6.0132	6.3453	6.1515	4.5881	4.2709	5.046	5.3346	5.4645	5.3781	5.698	5.0867	6.9289	6.329	4.7629	4.8987	4.8285	5.3675	5.041	4.4348	5.9668	6.5059	6.1141	5.2743	4.7647	6.7135	5.3802	6.5852	4.8802	5.3206	6.161	5.3254	5.1765	5.4917	7.3241	5.3353	4.5411	5.0277	6.432	6.5046	7.1666	7.6806	7.7718	5.2869	5.939	5.8473	4.7177	5.057	5.9629	5.7607	5.5872	6.1768	6.2795	5.935	6.6899	5.1177	5.821	7.3701	4.7837	4.2416	5.2045
hsa-miR-194-5p	12.0626	12.8976	11.6825	12.9438	12.1457	11.8283	12.5977	12.6102	9.8819	9.9377	11.782	12.4448	10.315	11.6435	11.0081	8.8918	11.7028	11.4857	12.5937	11.9609	10.996	9.5487	11.8992	12.33	9.9193	13.5877	12.0559	6.727	11.2139	11.5213	12.0662	12.8797	11.9539	12.0143	11.9805	12.6857	12.497	12.0197	11.6779	12.2896	12.6663	12.9004	11.887	11.2286	12.3791	12.1086	11.932	13.0522	12.3436	12.2833	12.0252	13.1437	13.0349	12.2734	12.0344	11.6593	12.7269	11.9333	12.5008	12.4019	12.3418	12.544	12.5735	11.4616	12.6964	11.7061	12.3506	10.4314	11.5488	12.0821	11.9963	11.4321	11.1082	12.3142	12.8891	11.9694	11.7473	11.3483	12.4518	11.7163	12.0522	9.8882	12.292	10.5907	11.2757	12.5533	12.079	11.6525	10.3264	12.1927	12.4363	11.2988	12.0676	11.8807	11.7281	9.0791	9.2407	13.1009	12.8649	12.3582	12.8794	13.281	11.4056	11.7405	12.3148
hsa-miR-195-3p	4.386	3.2813	4.7899	4.0295	4.5017	4.0367	3.7578	3.8542	0.6922	5.8426	4.3185	3.7879	3.7226	3.5952	4.77	4.2575	5.8768	3.069	4.6343	5.2578	4.5401	5.6038	4.0775	4.0326	3.7371	2.9609	3.5522	3.0129	4.1296	3.4582	4.4571	5.0198	2.9407	3.2611	3.6515	4.362	3.7733	5.3356	4.2147	4.6304	4.0176	3.4835	2.0107	4.8815	4.4388	4.1576	4.7749	2.9815	5.1191	3.0106	4.9641	3.5224	4.3043	4.16	3.7153	4.4517	4.9248	4.718	3.7885	3.6273	4.0584	3.7789	4.4007	4.2956	3.9327	5.2574	4.9406	4.1886	4.6389	4.8402	5.355	4.6828	3.966	4.5211	2.9417	4.5491	4.7145	5.8789	4.6229	4.2775	3.8578	5.5351	5.2298	5.472	4.9109	3.6948	3.7412	4.2139	5.5595	4.5237	4.4598	4.8141	4.4073	4.8851	4.2852	5.7459	5.1413	2.9767	4.5933	4.93	3.963	4.6131	4.8764	4.7566	4.0613
hsa-miR-195-5p	7.569	6.6518	8.9782	7.9922	6.0381	4.4158	7.0311	8.1813	2.9585	7.8642	6.3407	8.2032	6.8132	6.7618	7.8669	4.873	7.3096	6.4647	7.3666	7.1882	6.2981	6.4366	8.0065	7.8516	5.6565	6.7139	7.2865	4.4548	6.4725	5.5164	7.8882	7.1878	5.8686	4.6397	5.7582	7.6249	8.1889	7.7655	7.3363	7.9591	7.5955	6.8454	6.2985	6.4355	7.1045	6.0299	6.0191	7.3286	9.0188	7.6151	7.8588	7.9596	7.9409	7.8622	7.1192	7.2122	7.1361	6.5206	8.9668	7.8934	8.3251	7.8079	9.271	9.4067	7.2161	8.572	8.5305	6.27	8.0965	7.9784	9.1484	7.2569	7.2508	7.7592	6.3019	6.9663	8.0979	8.5625	5.2595	7.0393	8.0999	6.507	6.6661	7.0058	5.8587	5.9698	4.6171	7.8062	6.7221	7.4538	8.0444	7.6736	7.2754	7.7454	7.2286	6.4847	6.3588	6.305	7.2983	8.2409	7.5976	7.2104	8.0418	8.6698	8.5446
hsa-miR-196a-5p	7.9787	9.0823	8.8972	7.48	9.9138	7.4855	10.5791	5.4417	6.0232	5.3374	8.0152	7.8668	7.8846	9.1905	9.8625	6.8703	9.4892	8.7878	9.1277	8.0728	7.7494	7.4349	7.4997	7.4486	7.6825	8.1787	8.698	6.0852	8.531	10.4995	7.3283	8.9183	9.5216	8.6345	9.654	7.6892	8.7785	8.3735	7.8342	9.2459	8.7428	8.4621	8.2131	9.2424	8.5559	7.5495	8.3874	9.1763	7.5522	7.5928	7.157	8.366	7.1536	7.56	8.1048	7.815	4.451	7.5117	8.0636	6.5279	6.9434	7.5332	8.2373	6.9821	8.05	5.4534	9.631	9.62	6.297	6.6077	7.4799	8.685	7.0436	9.2066	4.3089	8.1907	7.7533	7.3854	8.8042	8.1471	6.4973	7.2291	8.6704	3.8467	9.4324	3.2449	8.9854	8.3914	6.2421	8.7647	7.6564	7.9696	7.7722	8.1438	8.1786	6.8928	5.9794	8.7944	9.9098	7.0389	8.0549	8.7059	7.3296	8.5794	7.0048
hsa-miR-196b-3p	1.0745	3.5641	1.2454	3.8944	0.5828	1.159	4.0856	1.3357	0.9438	0.2843	2.7961	4.1713	2.201	1.4992	1.0422	1.7592	2.4337	1.51	2.4492	2.4831	2.7064	1.0325	2.1307	2.9412	0.684	1.2654	2.1944	1.8011	2.1046	1.9166	2.2436	2.3991	1.5865	1.5761	2.407	1.643	3.6548	3.219	2.4256	3.6172	0.8626	1.6027	2.2336	2.3222	2.295	2.8888	1.4998	2.6421	1.4842	2.8226	1.0299	3.7763	0.8438	1.455	1.5531	0.996	2.9923	3.8564	3.9165	3.358	2.1492	1.5429	2.7547	2.0809	2.8311	3.0153	3.123	2.0277	1.3505	2.1997	1.2854	1.8116	1.6274	2.6162	2.5459	2.0372	3.0346	2.3096	2.153	2.4017	0.8585	1.0703	1.1206	3.0064	2.9665	1.1086	2.2043	1.8096	1.6234	3.4972	2.2486	2.9779	1.8267	3.0689	1.8793	1.7457	2.0501	2.0975	3.0529	1.7203	1.2291	2.7121	1.6397	3.6713	1.4655
