#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	"The type of sample (i.e., normal, primary, met, recurrence)."	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE
NCIH1963_LUNG	NCIH1963_LUNG	1	2.05	0	ACH-000729	NCI-H1963		Primary	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Suspension	RPMI-1640+10%FBS	NA	5% DMSO		NA	lung_small_cell	lung_small_cell	Lung:SCLC	157.897507
RL952_ENDOMETRIUM	RL952_ENDOMETRIUM	1	2.05	0	ACH-000965	RL95-2		Primary	Endometrium	NS	NS	NS	mixed_adenosquamous_carcinoma	NS	NS	CCLE	NIBRI						NA	endometrium	endometrium	Endometrium:Carcinoma	580.6253132
J82_URINARY_TRACT	J82_URINARY_TRACT	1	1.95	0	ACH-000396	J82		Primary	Urinary_Tract	bladder	NS	NS	transitional_cell_carcinoma	NS	NS	CCLE	ATCC	epithelial adherent	EMEM+10%FBS	NA	5%DMSO		34.4	urinary_tract	urinary_tract	Bladder:Carcinoma	119.6549586
HCC15_LUNG	HCC15_LUNG	0.99	1.73	0	ACH-000878	HCC-15		Primary	Lung	NS	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	DSMZ	mixed; dt= 72-96 hrs	RPMI-1640 + 10%FBS	NA	5% DMSO		51.7	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	264.6207321
M059K_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	1	4.06	2	ACH-000152	M059K		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	ATCC	adherent fibroblast	DMEM:F12 +10% FBS	NA	5% DMSO		164.5	glioma	glioma	CNS:Glioma_HighGrade	86.55945863
CALU6_LUNG	CALU6_LUNG	1	2.71	1	ACH-000264	Calu-6		Primary	Lung	NS	NS	NS	undifferentiated_carcinoma	NS	NS	CCLE	ATCC	Adherent	EMEM +10%FBS	NA	5% DMSO		78.9	lung_NSC	lung_NSC	Lung:NSCLC_Others	87.77718147
SKLU1_LUNG	SKLU1_LUNG	1	4	2	ACH-000309	SK-LU-1		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	Adherent	MEM+10%FBS	NA	5% DMSO		174.6	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	72.9598821
SW900_LUNG	SW900_LUNG	1	2.72	1	ACH-000669	SW 900		Primary	Lung	NS	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE		Adherent epithelial	L15+10%FBS	NA	5%DMSO		NA	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	144.2755307
UACC62_SKIN	UACC62_SKIN	1	1.81	0	ACH-000425	UACC-62		Primary	Skin	NS	NS	NS	NS	NS	NS	CCLE							207.6	melanoma	melanoma	Skin:Melanoma	110.2041138
MFE280_ENDOMETRIUM	MFE280_ENDOMETRIUM	1	2.54	1	ACH-000192	MFE-280		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	endometrium	endometrium	Endometrium:Carcinoma	86.69118242
MFE319_ENDOMETRIUM	MFE319_ENDOMETRIUM	0.99	2	0	ACH-000988	MFE-319		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	endometrium	endometrium	Endometrium:Carcinoma	1280.547998
MFE296_ENDOMETRIUM	MFE296_ENDOMETRIUM	1	2	0	ACH-000879	MFE-296		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE			RPM:MEM +20% FBS	"2mM L-glutamine, Insulin, Transferrin, Selenite"			45.07	endometrium	endometrium	Endometrium:Carcinoma	267.7106602
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	1	1.86	0	ACH-000027	GOS-3		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma	NS	NS	CCLE	GNF						NA	glioma	glioma	CNS:Glioma	91.51669099
GI1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	1	2.29	1	ACH-000756	GI-1		Primary	Central_Nervous_System	brain	NS	NS	gliosarcoma	NS	NS	CCLE	RIKEN	ADHERENT FIBROBLAST LIKE	DMEM+10%FBS		5% DMSO		35.1	glioma	glioma	CNS:Glioma	189.8293645
PC14_LUNG	PC14_LUNG	1	3.33	1	ACH-000030	PC-14		Primary	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	RIKEN	adherent	RPMI+10%FBS	NA	5%DMSO		35.2966	lung_NSC	lung_NSC	Lung:NSCLC_Others	151.0705525
KYSE410_OESOPHAGUS	KYSE410_OESOPHAGUS	1	2.26	1	ACH-000809	KYSE-410		Primary	Oesophagus	upper_third	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	DSMZ	Epithelial adherent monolayer	RPMI-1640+10%FBS	NA	10%DMSO		17.4	esophagus	esophagus	Oesophagus:Carcinoma	201.1053808
A204_SOFT_TISSUE	A204_SOFT_TISSUE	1	2	0	ACH-000201	A-204		Primary	Soft_Tissue	striated_muscle	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Rhabdoid	92.67187107
PATU8902_PANCREAS	PATU8902_PANCREAS	1	4.19	2	ACH-000599	PA-TU-8902		Primary	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	DSMZ	Epithelial Adherent cells in monolayer	DMEM + 10%FBS	2mM L-Glutamine	10%DMSO		57.6	pancreas	pancreas	Pancreas:Carcinoma	140.2362937
NCIH810_LUNG	NCIH810_LUNG	1	2.62	1	ACH-000789	NCI-H810		Primary	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	GNF						NA	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	172.2500773
RERFLCMS_LUNG	RERFLCMS_LUNG	1	2.48	1	ACH-000062	RERF-LC-MS		Primary	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	JCRB	Adherent; dt=42.7 hrs	EMEM+10%FBS	NEAA	5% DMSO		68.9	lung_NSC	lung_NSC	Lung:NSCLC_Others	105.6808319
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	2.89	1	ACH-000702	L-1236		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Hodgkin_lymphoma	NS	NS	CCLE	DSMZ	Mix	RPMI+10%FBS	NA	5%DMSO	48 hrs	89.9	lymphoma_Hodgkin	lymphoma_Hodgkin	Lymphoma:Hodgkin	160.8997968
DANG_PANCREAS	DANG_PANCREAS	1	3.03	1	ACH-000243	DAN-G		Primary	Pancreas	NS	NS	NS	NS	NS	NS	CCLE	DSMZ	ADHERENT EPITHELOID CELLS GROWING IN MONOLAYERS	RPMI-1640+ 10%FBS	NA	5% DMSO	33 hrs	43.3	pancreas	pancreas	Pancreas:Carcinoma	90.38433048
NCIH460_LUNG	NCIH460_LUNG	1	2.54	1	ACH-000463	NCI-H460	pleura	Metastasis	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	RPMI-1640+10%FBS	NA	5% DMSO		25.5	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	119.6353574
KYSE140_OESOPHAGUS	KYSE140_OESOPHAGUS	0.98	3	1	ACH-000823	KYSE-140		Primary	Oesophagus	middle_third	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	DSMZ	Adherent monolayer	RPMI 1640+10%FBS	NA	10%DMSO		27.5	esophagus	esophagus	Oesophagus:Carcinoma	203.6248043
KYSE180_OESOPHAGUS	KYSE180_OESOPHAGUS	1	2.69	1	ACH-000693	KYSE-180		Primary	Oesophagus	middle_third	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	DSMZ	EPITHELOID CELLS GROWING AS ADHERENT MONOLAYER	RPMI-1640 +10% FBS	NA	5%DMSO	40-50 hrs	34.1	esophagus	esophagus	Oesophagus:Carcinoma	158.794456
HUPT3_PANCREAS	HUPT3_PANCREAS	1	1.87	0	ACH-000118	HUP-T3	ascites	Metastasis	Pancreas	NS	NS	NS	NS	NS	NS	CCLE	DSMZ	adherent; dt=40-50hrs	EMEM+10%FBS	1% NEAA + 1% sodium pyruvate	10% DMSO		106	pancreas	pancreas	Pancreas:Carcinoma	116.5594164
EFE184_ENDOMETRIUM	EFE184_ENDOMETRIUM	1	1.9	0	ACH-000435	EFE-184	ascites	Metastasis	Endometrium	NS	NS	NS	NS	NS	NS	CCLE	DSMZ	EPITHELOID CELLS GROWING IN MONOLAYERS	RPMI-1640+10% FBS	NA	5% DMSO	92 hrs	89.9	endometrium	endometrium	Endometrium:Carcinoma	115.679843
GCIY_STOMACH	GCIY_STOMACH	1	2.75	1	ACH-000047	GCIY		Primary	Stomach	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	GNF						NA	stomach	stomach	Gastric:Carcinoma	88.66578456
SH10TC_STOMACH	SH10TC_STOMACH	0.98	4.75	2	ACH-000764	SH-10-TC		Primary	Stomach	NS	NS	NS	NS	NS	NS	CCLE	RIKEN	Adherent	RPMI 1640 +10%FBS	NA	5% DMSO		66	stomach	stomach	Gastric:Carcinoma	207.7215689
CAOV4_OVARY	CAOV4_OVARY	0.99	2.57	1	ACH-000103	Caov-4	NS	Metastasis	Ovary	NS	NS	NS	adenocarcinoma	NS	NS	CCLE		Adherent			5%DMSO		NA	ovary	ovary	NA	77.29245748
HCC2218_BREAST	HCC2218_BREAST	0.99	2.12	0	ACH-000755	HCC2218		Primary	Breast	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	ATCC	SUSPENSION	RPMI 1640 +10%FBS	NA	5% DMSO		147.7	breast	breast	Breast:Carcinoma	168.9209571
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.93	0	ACH-000598	KMS-21BM		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE	HSSRB	lymphocyte-like	RPMI 1640 medium with 10% fetal bovine serum.	NA		NA	NA	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	160.2806444
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	3.51	1	ACH-000588	KMS-26		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE		suspension	RPMI1640+10%FBS	NA	5%DMSO		33.2	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	149.7017082
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.06	0	ACH-000576	KMS-27		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE		suspension	RPMI1640+10%FBS	NA	5%DMSO		73.2	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	169.0552943
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	2.12	0	ACH-000498	KO52		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	M2	NS	CCLE	HSSRB		MEM + 10% FBS	NA	10%DMSO		NA	AML	AML	Leukemia:AML	NA
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.88	0	ACH-000419	KMS-28BM		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE	HSSRB	suspension	RPMI +10%FBS	NA	5% DMSO		60	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	151.6802434
KNS60_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	1	1.2	0	ACH-000445	KNS-60		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	HSSRB	polygonal-epithelial	Dulbecco's modified Eagle's medium with 5% fetal bovine serum	NA		NA	NA	glioma	glioma	CNS:Glioma_HighGrade	142.794309
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	1	1.96	0	ACH-000479	KNS-81		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	HSSRB	Fibroblast-like	DMEM+15%FBS	NA	10%DMSO		70	glioma	glioma	CNS:Glioma_HighGrade	163.5303777
KPNSI9S_AUTONOMIC_GANGLIA	KPNSI9S_AUTONOMIC_GANGLIA	1	2.31	1	ACH-000446	KP-N-SI9s	lymph_node	Metastasis	Autonomic_Ganglia	NS	NS	NS	NS	NS	NS	CCLE	HSSRB	NA	RPMI 1640 medium wiyh10% fetal bovine serum	NA		NA	NA	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	146.3354631
LU99_LUNG	LU99_LUNG	0.99	2.71	1	ACH-000444	LU99		Metastasis	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	HSRRB	Adherent	RPMI 1640 +10% FBS	NA	5% DMSO		40.4	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	165.0898898
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	1.9	0	ACH-000541	KMS-34		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE	HSRRB	Supsension		NA	5% DMSO		85.9	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	136.827034
MKN1_STOMACH	MKN1_STOMACH	1	3.15	1	ACH-000351	MKN1	lymph_node	Metastasis	Stomach	NS	NS	NS	mixed_adenosquamous_carcinoma	NS	NS	CCLE	HSSRB	epithelial-like	RPMI 1640 medium with 10% fetal calf serum.	NA		NA	NA	stomach	stomach	Gastric:Carcinoma	148.071063
MKN74_STOMACH	MKN74_STOMACH	1	2.3	1	ACH-000758	MKN74	liver	Metastasis	Stomach	NS	NS	NS	tubular_adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	RPMI 1640 medium with 10% heat inactivated fetal bovine serum	NA		NA	NA	stomach	stomach	Gastric:Carcinoma	190.5846245
KP3_PANCREAS	KP3_PANCREAS	1	2.78	1	ACH-000108	KP-3	liver	Metastasis	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	HSSRB	epithelial-like	RPMI 1640 medium with 10% fetal bovine serum	NA		NA	NA	pancreas	pancreas	Pancreas:Carcinoma	110.455866
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.18	0	ACH-000076	NCO2		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	chronic_myeloid_leukaemia	NS	NS	CCLE	HSSRB						NA	CML	CML	Leukemia:CML	110.6743889
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.46	1	ACH-000564	KHM-1B		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE	HSSRB	"SUSPENSION, LYMPHOCYTE-LIKE"	RPMI-1640+10% FBS	NA	5%DMSO		112.8	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	142.2057449
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC2_UPPER_AERODIGESTIVE_TRACT	1	2.65	1	ACH-000472	HSC-2		Primary	Upper_Aerodigestive_Tract	mouth	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	HSSRB	Epithelial-like	EMEM+10%FBS				37.7	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	155.9651961
KG1C_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	0.97	2.65	1	ACH-000126	KG-1-C		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	HSRRB	Adherent	DMEM + 10% FBS	NA	5% DMSO		111.4	glioma	glioma	CNS:Glioma_HighGrade	108.9491102
HUH7_LIVER	HUH7_LIVER	1	2.54	1	ACH-000480	HuH-7		Primary	Liver	NS	NS	NS	hepatocellular_carcinoma	NS	NS	CCLE	HSSRB	NA	Dulbecco's modified Eagle's medium with 10% fetal bovine serum. Refer cancer Res. 42:3858 (1982) for other medium with low serum concentration.	NA		NA	NA	liver	liver	Liver:HCC	156.8998825
KMBC2_URINARY_TRACT	KMBC2_URINARY_TRACT	1	1.8	0	ACH-000862	KMBC-2		Primary	Urinary_Tract	bladder	NS	NS	NS	NS	NS	CCLE	HSRRB	round cells with vacuolization	Ham's F12 +10% FBS	NA	5%DMSO		137.9	urinary_tract	urinary_tract	Bladder:Carcinoma	254.4430402
KMRC20_KIDNEY	KMRC20_KIDNEY	1	1.91	0	ACH-000250	KMRC-20		Primary	Kidney	NS	NS	NS	renal_cell_carcinoma	NS	NS	CCLE	HSSRB	ADHERENT	DMEM+10% FBS	NA	5%DMSO		65	kidney	kidney	Kidney:Carcinoma	148.6365519
HUCCT1_BILIARY_TRACT	HUCCT1_BILIARY_TRACT	0.98	3.28	1	ACH-000976	HuCCT1		Primary	Biliary_Tract	bile_duct	NS	NS	NS	NS	NS	CCLE	HSSRB	NA	RPMI 1640 medium with 10% fetal bovine serum.	NA		NA	NA	bile_duct	bile_duct	Biliary_Tract:Carcinoma	1458.405477
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.9	0	ACH-000773	Ki-JK		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	anaplastic_large_cell_lymphoma	NS	NS	CCLE	HSSRB	lymphoblast-like	RPMI 1640 medium with 10% fetal calf serum.	NA		NA	NA	lymphoma_other	T-cell_lymphoma_other	Lymphoma:NH_T_cell	208.2736925
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.05	0	ACH-000157	A4/Fuk		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	diffuse_large_B_cell_lymphoma	NS	NS	CCLE	JCRB	SUSPENSION	RPMI-10% FBS	NA	5% DMSO		118.1	lymphoma_DLBCL	lymphoma_DLBCL	Lymphoma:NH_B_cell	116.4358582
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	0.98	3.08	1	ACH-000231	KALS-1		Primary	Central_Nervous_System	brain	NS	NS	NS	NS	NS	CCLE	HSSRB	Biporar polyglonal	RPMI1640+10%FBS	NA	10%DMSO		56.9	glioma	glioma	CNS:Glioma	129.4083436
HEC108_ENDOMETRIUM	HEC108_ENDOMETRIUM	0.99	1.67	0	ACH-000990	HEC-108		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB						63	endometrium	endometrium	Endometrium:Carcinoma	1579.742482
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.8	1	ACH-000005	HEL 92.1.7		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	M6	NS	CCLE	NIBRI		RPMI-1640 + 10% FBS	NA	5%DMSO		116	AML	AML	Leukemia:AML	97.3391703
HUH28_BILIARY_TRACT	HUH28_BILIARY_TRACT	0.99	2.42	1	ACH-000808	HuH28		Primary	Biliary_Tract	bile_duct	NS	NS	NS	NS	NS	CCLE	HSSRB	adherent	RPMI-1640+10% FBS	NA	5% DMSO	1 week	90.5	bile_duct	bile_duct	Biliary_Tract:Carcinoma	NA
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.81	0	ACH-001036	CMK-11-5		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	M7	NS	CCLE	HSSRB	SUSPENSION	RPMI-1640 +10% FBS	NA	5% DMSO		49.8	AML	AML	NA	NA
HEC265_ENDOMETRIUM	HEC265_ENDOMETRIUM	1	2	0	ACH-000946	HEC-265		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 15%  fetal bovine serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	550.0652135
CAL12T_LUNG	CAL12T_LUNG	1	2.54	1	ACH-000826	CAL-12T		Primary	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	GNF					~50 hrs	NA	lung_NSC	lung_NSC	Lung:NSCLC_Others	208.5600477
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.13	0	ACH-000146	THP-1		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	M5	NS	CCLE	NIBRI		RPMI-1640 + 10% FBS	0.05 mM 2-mercaptoethanol	5%DMSO		101.8	AML	AML	Leukemia:AML	149.7150398
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.1	0	ACH-000697	A3/KAW		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	diffuse_large_B_cell_lymphoma	NS	NS	CCLE	HSRRB	suspension; grows in aggregates			5% DMSO		40	lymphoma_DLBCL	lymphoma_DLBCL	Lymphoma:NH_B_cell	211.4255162
SKNSH_AUTONOMIC_GANGLIA	SKNSH_AUTONOMIC_GANGLIA	0.99	2.08	0	ACH-000149	SK-N-SH	bone_marrow	Metastasis	Autonomic_Ganglia	NS	NS	NS	NS	NS	NS	CCLE	ATCC		EMEM+10% FBS	NA	5%DMSO		50.6	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	NA
HCC1954_BREAST	HCC1954_BREAST	0.98	4.53	2	ACH-000859	HCC1954		Primary	Breast	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE		Adherent	RPMI 1640 + 10%FBS	na	5% DMSO		NA	breast	breast	Breast:Carcinoma	198.1647591
CAMA1_BREAST	CAMA1_BREAST	1	1.96	0	ACH-000783	CAMA-1	pleura	Metastasis	Breast	NS	NS	NS	NS	NS	NS	CCLE	ATCC	Adherent epithelial	EMEM+10%FBS	NA	5%DMSO		114.8	breast	breast	Breast:Carcinoma	168.5219909
HEC6_ENDOMETRIUM	HEC6_ENDOMETRIUM	1	1.96	0	ACH-000984	HEC-6		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 15% fetal calf serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	971.9750615
AM38_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	1	1.9	0	ACH-000269	AM-38		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	HSSRB	NA	Eagle's minimal essential with 20% heat inactivated fetal bovine serum	NA		NA	NA	glioma	glioma	CNS:Glioma_HighGrade	137.2704639
HEC50B_ENDOMETRIUM	HEC50B_ENDOMETRIUM	1	2.32	1	ACH-000831	HEC-50B		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 15%  fetal calf serum			NA	NA	endometrium	endometrium	Endometrium:Carcinoma	231.9100059
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC3_UPPER_AERODIGESTIVE_TRACT	1	2.74	1	ACH-000778	HSC-3		Metastasis	Upper_Aerodigestive_Tract	mouth	tongue	NS	squamous_cell_carcinoma	NS	NS	CCLE	HSSRB		EMEM+10%FBS		5%DMSO		74.6	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	231.7658238
HSC4_UPPER_AERODIGESTIVE_TRACT	HSC4_UPPER_AERODIGESTIVE_TRACT	0.98	3.73	2	ACH-000546	HSC-4		Primary	Upper_Aerodigestive_Tract	mouth	tongue	NS	squamous_cell_carcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 10% calf serum (FCS can be used)	NA		NA	NA	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	148.2821902
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	3.29	1	ACH-000714	KMS-11		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE	HSRRB	adherent	RPMI 1640+20%FBS	NA	5% DMSO		82.2	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	191.3080362
KP4_PANCREAS	KP4_PANCREAS	1	3.19	1	ACH-000265	KP4	ascites	Metastasis	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE		adherent	IMDM+10%FBS	NA	5%DMSO		NA	pancreas	pancreas	Pancreas:Carcinoma	143.110198
